lemma,rank,translation,pos
de,1,of; 's; used after the thing owned and before the owner,prep
que,2,that,conj
la,3,feminine singular definite article; the,article
no,4,not,adv
a,5,,
el,6,masculine singular definite article; the,article
y,7,and,conj
en,8,"in, at, on",prep
es,9,he is; she is; it is,verb
un,10,an; a,article
lo,11,"neuter definite article used only before nominalized adjectives: the, that which is",article
por,12,by,prep
los,13,masculine plural of el (“the”),article
una,14,feminine singular of un,article
se,15,"A reflexive or reciprocal pronoun: oneself, himself, herself, itself, yourself; themselves; yourselves; each other; one another",pron
con,16,with,prep
qué,17,what; which (interrogative only),det
me,18,reflexive of yo: myself,pron
para,19,he stops; she stops; it stops,verb
las,20,feminine plural definite article; the,article
del,21,"of the, from the (+ a masculine noun in singular)",contraction
te,22,yourself,pron
su,23,"apocopic form of suyo his, her, its, one's, their, your (formal)",det
pero,24,I apheretic form of esperar,verb
si,25,"if, whether",conj
está,26,he is; she is; it is,verb
mi,27,"apocopic form of mío, my",det
al,28,"contraction of a + el, literally “at the, to the”",contraction
sí,29,yes (commonly used to respond affirmatively to a question),particle
como,30,I eat,verb
bien,31,good (as opposed to evil),noun
más,32,more; -er (used to make comparisons),adv
eso,33,neuter singular of ése; that,pron
yo,34,first-person singular pronoun in the nominative case; I,pron
le,35,"to him, for him; dative of él",pron
aquí,36,here,adv
tu,37,"apocopic form of tuyo, your",det
todo,38,all; every,det
ha,39,he has; she has; it has,verb
ya,40,"now (often as opposed to before), anymore, no longer",adv
o,41,or,conj
esto,42,neuter singular of este (“this”),pron
muy,43,apocopic form of mucho; very,adv
esta,44,alternative spelling of ésta (“this one”),pron
ahora,45,now (at the present time),adv
así,46,I grabed,verb
cuando,47,when,adv
hay,48,he has; she has; it has,verb
este,49,east,noun
algo,50,"something, anything",pron
estoy,51,I am,verb
vamos,52,we go,verb
él,53,"he, him, masculine personal third person subject and disjunctive pronoun (used as a subject and after prepositions)",pron
ser,54,to be,verb
bueno,55,good,adj
nos,56,"dative of nosotros: to us, for us",pron
sus,57,c'mon; attaboy,intj
fue,58,he went; she went; it went,verb
tengo,59,I have,verb
era,60,I was,verb
nada,61,he swims; she swims; it swims,verb
tiene,62,he has; she has; it has,verb
sé,63,I know,verb
tú,64,second person pronoun in singular tense; you,pron
cómo,65,how,noun
vez,66,"time, instance",noun
estás,67,you are,verb
sólo,68,,
ella,69,"she, her (used subjectively and after prepositions)",pron
son,70,they are,verb
hacer,71,to do,verb
he,72,I have,verb
porque,73,because,conj
todos,74,masculine plural of todo,det
puedo,75,I am able to,verb
quiero,76,I desire,verb
gracias,77,thanks,noun
puede,78,he is able to; she is able to; it is able to,verb
dos,79,two,num
sin,80,without,prep
soy,81,I am,verb
sobre,82,I am superfluous,verb
ese,83,that,det
estaba,84,I was,verb
también,85,"also, too, as well",adv
tiempo,86,time,noun
tan,87,"so, as",adv
