lemma,rank,pos,sentence,tokens,combined,reranker,lm_logp
de,1,prep,Estoy de acuerdo contigo en ese momento.,estoy de acuerdo contigo en ese momento,1.6397,1.6397,-25.2776
que,2,pron,Sé que puedes hacer eso por mí.,sé que puedes hacer eso por mí,0.9368,0.9368,-31.4910
la,3,pron,La casa es demasiado tarde para eso.,la casa es demasiado tarde para eso,0.6062,0.6062,-29.3062
no,4,,No me gusta ese tipo de cosas.,no me gusta ese tipo de cosas,1.9185,1.9185,-24.1437
a,5,none,Voy a casa antes de salir.,voy a casa antes de salir,1.0371,1.0371,-27.6369
el,6,art,El libro es demasiado tarde para eso.,el libro es demasiado tarde para eso,0.6048,0.6048,-29.2565
y,7,conj,Tú y yo estamos aquí para ver.,tú y yo estamos aquí para ver,0.0627,0.0627,-31.3800
en,8,prep,Estoy en contra de la ciudad.,estoy en contra de la ciudad,0.8199,0.8199,-24.3272
es,9,v,Ella es la mejor forma de hablar.,ella es la mejor forma de hablar,1.9514,1.9514,-24.3692
un,10,num,Tengo un libro sobre la historia.,tengo un libro sobre la historia,0.9814,0.9814,-26.9601
lo,11,pron,Ya lo tengo que volver a ver.,ya lo tengo que volver a ver,0.8200,0.8200,-30.2065
por,12,prep,Voy por el bien del mal tiempo.,voy por el bien del mal tiempo,0.8402,0.8402,-29.8271
los,13,art,Los libros son para los niños.,los libros son para los niños,-1.5956,-1.5956,-26.8648
una,14,determiner,Tengo una casa de mi tío.,tengo una casa de mi tío,1.0740,1.0740,-27.0659
se,15,pron,No se sabe nada de esto.,no se sabe nada de esto,1.0218,1.0218,-26.0458
con,16,prep,Estoy con las manos antes de ir.,estoy con las manos antes de ir,0.6180,0.6180,-33.1941
qué,17,pron,No sé qué hacer con él.,no sé qué hacer con él,1.4989,1.4989,-24.3574
me,18,pron,Me gusta mucho el uno al otro.,me gusta mucho el uno al otro,1.2584,1.2584,-23.6965
para,19,prep,Voy para el fin de semana pasado.,voy para el fin de semana pasado,0.6537,0.6537,-33.3499
las,20,pron,Tengo las casas de por aquí cerca.,tengo las casas de por aquí cerca,-2.2935,-2.2935,-40.1799
del,21,contraction,Es la casa del vecino.,es la casa del vecino,-3.5268,-3.5268,-31.8608
te,22,pron,Te gusta mucho el uno al otro.,te gusta mucho el uno al otro,-0.2513,-0.2513,-33.4114
su,23,determiner,Su libro es demasiado tarde para eso.,su libro es demasiado tarde para eso,0.2650,0.2650,-31.4431
pero,24,conj,Quiero ir pero no puedo ver nada.,quiero ir pero no puedo ver nada,-0.0877,-0.0877,-37.8463
si,25,conj,No sé si es verdad eso.,no sé si es verdad eso,0.6640,0.6640,-28.7514
está,26,v,Ella está en casa de mi padre.,ella está en casa de mi padre,1.2175,1.2175,-27.8135
mi,27,determiner,Mi libro es demasiado tarde para eso.,mi libro es demasiado tarde para eso,-0.3755,-0.3755,-35.5644
al,28,contraction,Vamos al cine.,vamos al cine,-3.4411,-3.4411,-19.8793
sí,29,pron,Claro que sí en el mundo.,claro que sí en el mundo,-2.5553,-2.5553,-35.1741
como,30,conj,Es como tú no eres el único.,es como tú no eres el único,0.2571,0.2571,-30.5142
bien,31,adv,Ella está bien de su padre.,ella está bien de su padre,-0.1099,-0.1099,-31.8128
más,32,adv,Ella está más cerca de aquí.,ella está más cerca de aquí,1.2529,1.2529,-27.6919
eso,33,pron,Ella es eso lo que has hecho.,ella es eso lo que has hecho,0.7222,0.7222,-31.6661
yo,34,pron,Yo estoy aquí por un tiempo.,yo estoy aquí por un tiempo,0.5679,0.5679,-28.1060
le,35,pron,Ya le tengo miedo a los niños.,ya le tengo miedo a los niños,0.2479,0.2479,-33.1379
aquí,36,adv,Aquí no hay nada que ver.,aquí no hay nada que ver,1.1775,1.1775,-22.2357
tu,37,determiner,Tu libro es una buena idea.,tu libro es una buena idea,-0.5971,-0.5971,-33.9423
todo,38,determiner,Tengo todo libro por la mañana.,tengo todo libro por la mañana,-1.4238,-1.4238,-38.6819
ha,39,v,Ha de ser un poco de agua.,ha de ser un poco de agua,0.6444,0.6444,-28.6901
ya,40,adv,Ya no hay nada que ver.,ya no hay nada que ver,1.4687,1.4687,-22.5419
o,41,conj,Quieres ir o no ser el mejor.,quieres ir o no ser el mejor,-0.9679,-0.9679,-41.0195
esto,42,pron,Esto es importante para los niños.,esto es importante para los niños,0.8413,0.8413,-26.1403
muy,43,adv,Ella está muy cerca de la ciudad.,ella está muy cerca de la ciudad,1.2074,1.2074,-28.4912
esta,44,determiner,Esta casa es la primera vez.,esta casa es la primera vez,0.4024,0.4024,-26.3054
ahora,45,adv,Ahora no tengo ni idea de quién.,ahora no tengo ni idea de quién,1.2472,1.2472,-24.9522
así,46,adv,Así que no se puede hacer nada.,así que no se puede hacer nada,1.4425,1.4425,-26.8276
cuando,47,conj,Estoy cuando no hay nada que ver.,estoy cuando no hay nada que ver,0.1934,0.1934,-33.9118
hay,48,v,Hay algo que hacer algo así.,hay algo que hacer algo así,0.8012,0.8012,-26.2081
este,49,determiner,Este libro es una buena idea.,este libro es una buena idea,0.7603,0.7603,-25.5918
algo,50,pron,Ella es algo que hacer eso.,ella es algo que hacer eso,0.2359,0.2359,-30.7435
estoy,51,v,No estoy de acuerdo con él.,no estoy de acuerdo con él,1.0126,1.0126,-22.8439
vamos,52,v,No vamos a hacer eso por mí.,no vamos a hacer eso por mí,1.4489,1.4489,-28.2855
él,53,pron,Él está aquí para hablar de eso.,él está aquí para hablar de eso,0.0854,0.0854,-32.5730
ser,54,v,Quiero ser el primero en llegar.,quiero ser el primero en llegar,1.6481,1.6481,-23.7690
bueno,55,adj,Él es bueno para el otro día.,él es bueno para el otro día,1.4459,1.4459,-26.3734
nos,56,pron,Nos gusta mucho el uno al otro.,nos gusta mucho el uno al otro,0.0037,0.0037,-31.7701
sus,57,determiner,Sus libros son para los niños.,sus libros son para los niños,-2.3670,-2.3670,-31.6104
fue,58,v,No fue el primero en llegar.,no fue el primero en llegar,1.6809,1.6809,-24.5668
tengo,59,v,No tengo nada que ver con esto.,no tengo nada que ver con esto,1.6823,1.6823,-22.8650
era,60,v,No era el único que tienes razón.,no era el único que tienes razón,1.0300,1.0300,-28.0110
nada,61,pron,Nada es importante para los niños.,nada es importante para los niños,-0.2655,-0.2655,-31.9779
tiene,62,v,No tiene nada que ver con esto.,no tiene nada que ver con esto,1.5046,1.5046,-24.0087
sé,63,v,Yo sé que es hora de volver.,yo sé que es hora de volver,1.4687,1.4687,-27.5423
tú,64,pron,Tú estás aquí desde hace mucho tiempo.,tú estás aquí desde hace mucho tiempo,-0.2048,-0.2048,-36.2160
cómo,65,adv,Ella está cómo llegar a ser.,ella está cómo llegar a ser,0.4486,0.4486,-31.4489
