lemma,force_template_friendly,seed_sentence,exclude_from_generation,force_pos,force_translation,force_canonical_lemma,exclude_from_starter_dataset
afuera,true,Ella está afuera.,,,,,
agente,true,El agente está aquí.,,,,,
amiga,,,,,friend,,
base,true,Es la base del plan.,,,,,
bonito,,,,,pretty,,
buena,,,,,good,,
buenos,true,Son muy buenos amigos.,,,,,
buscar,,,,,to look for,,
caja,,,,,box,,
cambiar,,,,,to change,,
cambio,true,Necesito un cambio.,,,,,
campo,,,,,field,,
capaz,,,,,capable,,
cara,true,Tiene buena cara.,,,,,
carlos,,,true,,,,
carne,,,,,meat,,
chicas,true,Las chicas están aquí.,,,,,
cierto,,,,,certain,,
claro,,,,,clear,,
coche,,,,,car,,
compañía,true,Es buena compañía.,,,,,
común,true,Es algo muy común.,,,,,
conocer,,,,,to know,,
conseguir,,,,,to get,,
contrario,,,,,opposite,,
correcto,,,,,correct,,
corte,true,Es un corte nuevo.,,,,,
cuerpo,true,Todo el cuerpo duele.,,,,,
dar,,,,,to give,,
darle,,,true,,to give,,
david,,,true,,,,
deberías,true,Tú deberías ir.,,,should,,
debido,,,,,due,,
decir,,,,,to say,,
decirle,,,true,,,,
decirte,,,true,,,,
defensa,true,Es para la defensa.,,,,,
di,true,Yo le di un libro.,,,,,
difícil,,,,,difficult,,
diré,true,Te lo diré mañana.,,,,,
divertido,true,Es muy divertido.,,,,,
dr.,,,true,,,,
déjame,,,true,,,,
día,true,Hoy es un buen día.,,,,,
días,true,Fueron días muy difíciles.,,,,,
empezar,,,,,to start,,
entender,,,,,to understand,,
entendido,true,¿Entendido?,,,understood,,
escuchar,,,,,to listen,,
españa,,,true,,,,
esperar,,,,,to wait,,
evitar,,,,,to avoid,,
extraño,,,,,strange,,
falta,true,Nos hace falta tiempo.,,,,,
feliz,,,,,happy,,
fin,true,Es el fin.,,,,,
final,true,Es el final.,,,,,
foto,,,,,photo,,
frente,true,Está frente a la casa.,,,,,
fuerte,true,Él es muy fuerte.,,,,,
fácil,,,,,easy,,
genial,,,,,great,,
grande,,,,,big,,
habrá,true,No habrá problema.,,,,,
habían,true,Ya se habían ido.,,,,,
hacerlo,,,true,,to do it,,
han,true,Ellos no han llegado.,,,,,
hombre,,,,,man,,
hora,true,¿Qué hora es?,,,,,
horas,true,Faltan dos horas.,,,,,
hubo,true,No hubo problema.,,,,,
i,,,true,,,,
idiota,true,No seas idiota.,,,,,
igual,,,,,same,,
importante,,,,,important,,
increíble,,,,,incredible,,
jack,,,true,,,,
john,,,true,,,,
josé,,,true,,,,
joven,,,,,young,,
juan,,,true,,,,
libertad,true,Quiero mi libertad.,,,,,
listo,,,,,ready,,
llamada,true,Tengo una llamada.,,,,,
llamado,true,Es un hombre llamado Juan.,,,,,
llamar,,,,,to call,,
llegar,,,,,to arrive,,
lleva,true,Él la lleva a casa.,,,,,
llevar,,,,,to take,,
lugar,true,Este es un buen lugar.,,,,,
luz,true,No hay luz.,,,,,
m,,,true,,,,
madrid,,,true,,,,
mamá,true,Mi mamá está en casa.,,,,,
mano,true,Dame la mano.,,,,,
manos,true,Tiene las manos frías.,,,,,
maría,,,true,,,,
matar,,,,,to kill,,
mayor,,,,,older,,
mañana,true,Nos vemos mañana.,,,,,
meses,true,Han pasado seis meses.,,,,,
michael,,,true,,,,
minutos,true,Faltan cinco minutos.,,,,,
mis,true,Son mis amigos.,,,,,
mundo,,,,,world,,
mía,true,Es mía.,,,,,
nacional,,,,,national,,
necesario,,,,,necessary,,
negro,,,,,black,,
noche,true,Esta noche salimos.,,,,,
noches,true,Pasé dos noches aquí.,,,,,
nombre,true,¿Cuál es tu nombre?,,,,,
normal,,,,,normal,,
oficial,true,Es la versión oficial.,,,,,
ok,true,Todo está ok.,,,,,
orden,true,Todo está en orden.,,,,,
parte,true,Es parte del plan.,,,,,
partir,,,,,to leave,,
pasado,true,Eso es el pasado.,,,,,
pasar,,,,,to happen,,
pensar,,,,,to think,,
perro,,,,,dog,,
persona,,,,,person,,
personal,true,Es algo muy personal.,,,,,
poder,true,Tiene mucho poder.,,,,,
poner,,,,,to put,,
principal,,,,,main,,
pueblo,,,,,town,,
radio,true,Lo oí en la radio.,,,,,
real,true,Es una historia real.,,,,,
ropa,,,,,clothes,,
rápido,,,,,fast,,
s,,,true,,,,
saber,,,,,to know,,
salir,,,,,to leave,,
san,,,true,,,,
semanas,true,Faltan tres semanas.,,,,,
serio,,,,,serious,,
sientes,true,¿Cómo te sientes?,,,,,
simple,,,,,simple,,
social,,,,,social,,
sr.,,,true,,,,
sra.,,,true,,,,
srta.,,,true,,,,
suficiente,,,,,enough,,
tema,true,Es un buen tema.,,,,,
terminar,,,,,to finish,,
terrible,,,,,terrible,,
total,,,,,total,,
tranquilo,,,,,calm,,
unidos,true,Estamos unidos.,,,,,
ve,true,Ella ve la casa.,,,go,,
vemos,true,Nos vemos mañana.,,,,,
ver,,,,,to see,,
verdadero,,,,,true,,
verlo,,,true,,,,
vida,true,Mi vida es buena.,,,,,
vivo,,,,,alive,,
volver,,,,,to return,,
york,,,true,,,,
