lemma,rank,translation_pass1,translation_pass2,translation_final,pos_final,flags_pass1,flags_pass2,pass,repaired
quiero,76,I desire,,I desire,verb,suspicious_verb,suspicious_verb,2,False
creo,89,I create,I believe,I believe,verb,suspicious_verb,suspicious_verb,2,True
mí,110,,,,,blank,blank,2,False
oh,117,,,,,blank,blank,2,False
quieres,121,you desire,,you desire,verb,suspicious_verb,suspicious_verb,2,False
siento,122,I seat,I feel,I feel,verb,suspicious_verb,suspicious_verb,2,True
dijo,140,he said; she said; it said,,he said; she said; it said,verb,suspicious_verb,suspicious_verb,2,False
parece,151,he seems; she seems; it seems,you seem,you seem,verb,suspicious_verb,suspicious_verb,2,True
quiere,169,he desires; she desires; it desires,you desire,you desire,verb,suspicious_verb,suspicious_verb,2,True
sr.,185,,,,,blank,blank,2,False
sabe,195,he knows; she knows; it knows,you know,you know,verb,suspicious_verb,suspicious_verb,2,True
dice,199,he says; she says; it says,,he says; she says; it says,verb,suspicious_verb,suspicious_verb,2,False
podemos,201,we prune,we are able to,we are able to,verb,suspicious_verb,,2,True
debe,202,he owes; she owes; it owes,you owe,you owe,verb,suspicious_verb,suspicious_verb,2,True
quería,224,I desired,,I desired,verb,suspicious_verb,suspicious_verb,2,False
gusta,229,he tastes; she tastes; it tastes,you taste,you taste,verb,suspicious_verb,suspicious_verb,2,True
necesito,234,I need,,I need,verb,suspicious_verb,suspicious_verb,2,False
crees,246,you create,you believe,you believe,verb,suspicious_verb,suspicious_verb,2,True
idea,256,,he devises; she devises; it devises,he devises; she devises; it devises,verb,blank,suspicious_verb,2,True
importa,265,he matters; she matters; it matters,you matter,you matter,verb,suspicious_verb,suspicious_verb,2,True
ven,273,you come,they see,they see,verb,suspicious_verb,suspicious_verb,2,True
van,288,,they go,they go,verb,blank,,2,True
sabía,297,I knew,,I knew,verb,suspicious_verb,suspicious_verb,2,False
veo,306,I see,,I see,verb,suspicious_verb,suspicious_verb,2,False
pensé,320,I thought,,I thought,verb,suspicious_verb,suspicious_verb,2,False
ah,325,,,,,blank,blank,2,False
pasó,326,he passed; she passed; it passed,,he passed; she passed; it passed,verb,suspicious_verb,suspicious_verb,2,False
da,331,he gives; she gives; it gives,you give,you give,verb,suspicious_verb,suspicious_verb,2,True
niños,333,,,,,blank,blank,2,False
debo,344,I owe,,I owe,verb,suspicious_verb,suspicious_verb,2,False
hablando,358,talking,,talking,verb,suspicious_verb,suspicious_verb,2,False
significa,367,he signifies; she signifies; it signifies,you signify,you signify,verb,suspicious_verb,suspicious_verb,2,True
final,384,,end,end,noun,blank,,2,True
supongo,387,I suppose,,I suppose,verb,suspicious_verb,suspicious_verb,2,False
entiendo,390,I understand,,I understand,verb,suspicious_verb,suspicious_verb,2,False
ves,394,you see,v,v,noun,suspicious_verb,,2,True
espero,405,I hope,,I hope,verb,suspicious_verb,suspicious_verb,2,False
viene,407,he comes; she comes; it comes,,he comes; she comes; it comes,verb,suspicious_verb,suspicious_verb,2,False
sigue,409,he follows; she follows; it follows,you follow,you follow,verb,suspicious_verb,suspicious_verb,2,True
vi,416,I saw,,I saw,verb,suspicious_verb,suspicious_verb,2,False
doctor,438,,physician,physician,noun,blank,,2,True
dijiste,444,you said,,you said,verb,suspicious_verb,suspicious_verb,2,False
necesita,454,he needs; she needs; it needs,you need,you need,verb,suspicious_verb,suspicious_verb,2,True
debes,455,you owe,,you owe,verb,suspicious_verb,suspicious_verb,2,False
déjame,468,I leave,,I leave,verb,suspicious_verb,suspicious_verb,2,False
cree,476,I create,he creates; she creates; it creates,he creates; she creates; it creates,verb,suspicious_verb,suspicious_verb,2,True
oportunidad,479,,timeliness,timeliness,noun,blank,,2,True
embargo,482,,distraint,distraint,noun,blank,,2,True
dices,484,you say,,you say,verb,suspicious_verb,suspicious_verb,2,False
debemos,491,we owe,,we owe,verb,suspicious_verb,suspicious_verb,2,False
quieren,495,they desire,,they desire,verb,suspicious_verb,suspicious_verb,2,False
dio,496,he gave; she gave; it gave,,he gave; she gave; it gave,verb,suspicious_verb,suspicious_verb,2,False
real,520,,royal; regal,royal; regal,adj,blank,,2,True
necesitamos,533,we needed,,we needed,verb,suspicious_verb,suspicious_verb,2,False
diciendo,537,saying,,saying,verb,suspicious_verb,suspicious_verb,2,False
sabemos,539,we know,,we know,verb,suspicious_verb,suspicious_verb,2,False
pasando,541,passing,,passing,verb,suspicious_verb,suspicious_verb,2,False
dicen,546,they say,,they say,verb,suspicious_verb,suspicious_verb,2,False
plan,555,,scheme,scheme,noun,blank,,2,True
ok,559,,,,,blank,blank,2,False
pensando,565,thinking,,thinking,verb,suspicious_verb,suspicious_verb,2,False
conozco,566,I know,,I know,verb,suspicious_verb,suspicious_verb,2,False
acerca,568,,he brings close; she brings close; it brings close,he brings close; she brings close; it brings close,verb,blank,suspicious_verb,2,True
esperar,570,,to wait,to wait,verb,blank,,2,True
través,571,,,,,blank,blank,2,False
buscando,575,seeking,,seeking,verb,suspicious_verb,suspicious_verb,2,False
españa,580,,,,,blank,blank,2,False
sra.,583,,,,,blank,blank,2,False
saben,584,they know,,they know,verb,suspicious_verb,suspicious_verb,2,False
lleva,586,he takes; she takes; it takes,you take,you take,verb,suspicious_verb,suspicious_verb,2,True
necesitas,588,you need,,you need,verb,suspicious_verb,suspicious_verb,2,False
esperando,611,hoping,,hoping,verb,suspicious_verb,suspicious_verb,2,False
