rank,lemma,word,old_sentence,failure_reason
1,de,de,De qué se trata shermin.,retrieved
2,que,que,Tenemos que esperar y ver si se despierta.,retrieved_raw
3,la,la,No soy la directora de la oficina.,retrieved_raw
4,no,no,Mi madre no me cuenta nada.,retrieved_raw
5,a,a,Hasta llegar a la puerta del foro.,retrieved_raw
6,el,el,No sería el tipo de marido ideal.,retrieved_raw
7,y,y,Una voz y un acordeón.,retrieved
8,en,en,Así que te convertiré en oruga.,retrieved
9,es,es,La enfermera me ha dicho que es un niño.,retrieved_raw
10,un,un,No tienes un problema de ratones.,retrieved_raw
12,por,por,Por qué quiere saber el nombre.,retrieved
13,los,los,Qué hay sobre los archivos ultra secretos.,retrieved_raw
14,una,una,Bueno no es una mala teoría.,retrieved
15,se,se,No dejaré que esto se arruine.,retrieved
17,qué,qué,Qué pasa qué pasa con ella.,retrieved_raw
18,me,me,Ni siquiera me gustan los niños.,retrieved
19,para,para,No estoy trabajando para una organización benéfica.,retrieved
20,las,las,El horario será de las horas a las horas.,retrieved_raw
21,del,del,Salió del culo de mi amigo.,retrieved_raw
22,te,te,Todo lo que te rodea.,retrieved
23,su,su,No estaba besando su trasero.,retrieved
24,pero,pero,No pero no puedo correr el riesgo.,retrieved
25,si,si,Ah entonces si será un placer.,retrieved
26,está,está,Sé que ella está arrepentida de todo lo que pasó.,retrieved
27,mi,mi,No puedes contárselo a mi madre.,retrieved
28,al,al,Elecciones al parlamento europeo de luxemburgo.,retrieved_raw
29,sí,sí,Por el infierno que sí.,retrieved_raw
30,como,como,Lo dices como si hubiera tenido opción.,retrieved
33,eso,eso,Escucha eso es lo que es.,retrieved
35,le,le,Le he dicho que no se despertará.,retrieved
38,todo,todo,Todo se trata de sexo.,retrieved
39,ha,ha,Me ha dicho que te diga que le ha encantado.,retrieved
42,esto,esto,Estamos en la oscuridad en esto.,retrieved
43,muy,muy,Es muy agradable de tu parte.,retrieved
46,así,así,Así se ve nuestro objetivo.,retrieved_raw
47,cuando,cuando,Sabes cuando yo estaba pensando en adoptar.,retrieved
48,hay,hay,Qué hay de la persona que lo mató.,retrieved
49,este,este,A través de este denso velo.,retrieved
52,vamos,vamos,Vamos nos antes que ronnie nos atrape acá abajo.,retrieved_raw
54,ser,ser,La modificación mencionada ha de ser aprobada por el congreso nacional.,retrieved_raw
55,bueno,bueno,Bueno uno más uno más.,retrieved_raw
56,nos,nos,Siempre nos va mal con los invitados.,retrieved
57,sus,sus,Son fotos de sus hijos.,retrieved
