lemma,rank,pos,translation,teacher_model,teacher_base_url,prompt_style,candidate_idx,sentence,contains_exact_target,token_count,char_count,source_failure_reason,source_template_id,source_quality_tier
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,1,Dónde está la biblioteca?,true,4,25,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,2,Dónde vives?,true,2,12,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,3,Dónde trabajas?,true,2,15,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,4,Dónde comes?,true,2,12,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,5,Dónde duermes?,true,2,14,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,6,Dónde estudias?,true,2,15,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,7,Dónde compras?,true,2,14,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,8,Dónde juegas?,true,2,13,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,9,Dónde cenas?,true,2,12,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,10,Dónde naces?,true,2,12,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,11,Dónde te gusta ir?,true,4,18,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,12,Dónde estás?,true,2,12,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,13,Dónde va el tren?,true,4,17,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,14,Dónde hay un banco?,true,4,19,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,15,Dónde encuentras ayuda?,true,3,23,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,16,Dónde guardas las llaves?,true,4,25,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,17,Dónde están mis gafas?,true,4,22,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,18,Dónde sale el sol?,true,4,18,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,19,Dónde encuentro agua?,true,3,21,,no_candidate_found,
dónde,111,adv,where?,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,20,Dónde dejas tus cosas?,true,4,22,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,1,Tengo poco dinero.,true,3,18,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,2,Comí poco hoy.,true,3,14,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,3,Es una casa poco grande.,true,5,24,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,4,Hay poco tiempo.,true,3,16,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,5,Poco gente viene.,true,3,17,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,6,Habla poco español.,true,3,19,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,7,Necesito poco ayuda.,true,3,20,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,8,Veo poco la tele.,true,4,17,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,9,Ella canta poco.,true,3,16,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,10,Hay poco espacio.,true,3,17,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,11,No tengo poco sueño.,true,4,20,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,12,Es un libro poco interesante.,true,5,29,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,13,Bebo poco café.,true,3,15,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,14,Llegué poco tarde.,true,3,18,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,15,Poco personas conocen.,true,3,22,,no_candidate_found,
poco,130,adv,little; not much,Qwen/Qwen2.5-14B-Instruct:featherless-ai,https://router.huggingface.co/v1,strict_short_spain_spanish_v1,16,Es una fiesta poco animada.,true,5,27,,no_candidate_found,
