lemma,rank,pos,translation,sentence,token_count,quality_flags,support_words,support_rank_max,support_rank_avg,pattern_ready
dónde,111,adv,where?,Dónde está la biblioteca?,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,está la biblioteca,2826,951.67,false
dónde,111,adv,where?,Dónde vives?,2,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,vives,466,466.00,false
dónde,111,adv,where?,Dónde trabajas?,2,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,trabajas,460,460.00,false
dónde,111,adv,where?,Dónde comes?,2,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,comes,538,538.00,false
dónde,111,adv,where?,Dónde duermes?,2,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,duermes,618,618.00,false
dónde,111,adv,where?,Dónde estudias?,2,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,estudias,2191,2191.00,false
dónde,111,adv,where?,Dónde compras?,2,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,compras,909,909.00,false
dónde,111,adv,where?,Dónde juegas?,2,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,juegas,680,680.00,false
dónde,111,adv,where?,Dónde cenas?,2,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,cenas,906,906.00,false
dónde,111,adv,where?,Dónde naces?,2,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,naces,2597,2597.00,false
dónde,111,adv,where?,Dónde te gusta ir?,4,grammatical_ok=1|natural_ok=1|learner_clear_ok=1|notes=teacher_candidate|rejection_reasons=teacher_candidate,te gusta ir,229,101.00,false
dónde,111,adv,where?,Dónde estás?,2,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate,estás,26,26.00,false
dónde,111,adv,where?,Dónde va el tren?,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,va el tren,1087,381.67,false
dónde,111,adv,where?,Dónde hay un banco?,4,grammatical_ok=0|natural_ok=0|learner_clear_ok=0|notes=teacher_candidate|rejection_reasons=failed_generator_validation; not_grammatical; not_natural; not_learner_clear; teacher_candidate; support_vocabulary_too_rare,hay un banco,845,298.00,false
