lemma,rank,pos,sentence,tokens,combined,reranker,lm_logp
de,1,prep,Estoy de acuerdo contigo en ese momento.,estoy de acuerdo contigo en ese momento,1.0888,1.0888,-25.2776
que,2,pron,Creo que es verdad que estás haciendo.,creo que es verdad que estás haciendo,0.4341,0.4341,-27.3871
la,3,pron,La casa está a punto de salir.,la casa está a punto de salir,0.6327,0.6327,-26.3279
no,4,,Yo no quiero ir a la gente.,yo no quiero ir a la gente,0.9762,0.9762,-26.3621
a,5,none,Voy a casa de mi padre.,voy a casa de mi padre,0.3285,0.3285,-27.4295
el,6,art,El hombre está a punto de salir.,el hombre está a punto de salir,0.2439,0.2439,-28.7549
y,7,conj,Tú y yo estamos aquí para ver.,tú y yo estamos aquí para ver,-0.3965,-0.3965,-31.3800
en,8,prep,Estoy en casa todo el mundo.,estoy en casa todo el mundo,0.9566,0.9566,-23.6730
es,9,v,Ella es la mejor forma de hablar.,ella es la mejor forma de hablar,1.2954,1.2954,-24.3692
un,10,num,Tengo un hombre con quien hablar.,tengo un hombre con quien hablar,-0.0322,-0.0322,-29.5869
lo,11,pron,Ya lo tengo que ir a ver.,ya lo tengo que ir a ver,0.2030,0.2030,-29.8997
por,12,prep,Voy por el bien del mal tiempo.,voy por el bien del mal tiempo,0.3601,0.3601,-29.8271
los,13,art,Los libros están en el mundo.,los libros están en el mundo,-1.7674,-1.7674,-28.0072
una,14,determiner,Tengo una casa de mi padre.,tengo una casa de mi padre,0.5408,0.5408,-26.1598
se,15,pron,No se sabe nada de esto.,no se sabe nada de esto,0.5598,0.5598,-26.0458
con,16,prep,Estoy con un poco más de tres.,estoy con un poco más de tres,-0.0417,-0.0417,-32.3352
qué,17,pron,No sé qué hacer con los ojos.,no sé qué hacer con los ojos,1.0077,1.0077,-25.7840
me,18,pron,Me gusta mucho el uno al otro.,me gusta mucho el uno al otro,0.3794,0.3794,-23.6965
para,19,prep,Voy para que no se puede hacer.,voy para que no se puede hacer,-0.6065,-0.6065,-34.9253
las,20,pron,Las casas son un poco de agua.,las casas son un poco de agua,-2.6140,-2.6140,-35.9128
del,21,contraction,Del en la casa de mi padre.,del en la casa de mi padre,-1.6255,-1.6255,-36.2128
te,22,pron,Te gusta mucho el uno al otro.,te gusta mucho el uno al otro,-1.1768,-1.1768,-33.4114
su,23,determiner,Su hombre está a punto de salir.,su hombre está a punto de salir,-1.5560,-1.5560,-39.9918
pero,24,conj,Quiero ir pero no puedo ver nada.,quiero ir pero no puedo ver nada,-1.0744,-1.0744,-37.8463
si,25,conj,No sé si es verdad fue.,no sé si es verdad fue,0.0455,0.0455,-28.2250
está,26,v,Ella está en contra de la ciudad.,ella está en contra de la ciudad,0.7879,0.7879,-27.5378
mi,27,determiner,Tengo mi hombre con quien hablar.,tengo mi hombre con quien hablar,-1.6006,-1.6006,-38.9671
al,28,contraction,Al menos una vez a la gente.,al menos una vez a la gente,-0.1003,-0.1003,-26.6911
