lemma,rank,pos,translation,sentence,source_method,score,tokens
de,1,prep,of; from,Estoy de acuerdo contigo en ese momento.,markov_ml,-2.2004,estoy de acuerdo contigo en ese momento
que,2,pron,that,Sé que puedes hacer eso por mí.,markov_ml,-3.4232,sé que puedes hacer eso por mí
la,3,pron,the (fem.),La casa es la primera vez.,markov_ml,-3.3603,la casa es la primera vez
no,4,,no; not,No me gusta ese tipo de persona.,markov_ml,-1.8199,no me gusta ese tipo de persona
a,5,none,to; at,Voy a casa por la mañana.,markov_ml,-2.9853,voy a casa por la mañana
el,6,art,the (masc.),El libro es una buena idea.,markov_ml,-2.9756,el libro es una buena idea
y,7,conj,and,Ella y yo somos amigos de verdad.,markov_ml,-5.0739,ella y yo somos amigos de verdad
en,8,prep,in; at; on,Estoy en contra de la ciudad.,markov_ml,-3.3627,estoy en contra de la ciudad
es,9,v,is (ser),No es tan importante como la gente.,markov_ml,-2.1562,no es tan importante como la gente
un,10,num,a; an; one,Tengo un libro sobre la historia.,markov_ml,-3.1371,tengo un libro sobre la historia
lo,11,pron,it; the (neuter),No lo veo por qué la gente.,markov_ml,-3.5929,no lo veo por qué la gente
por,12,prep,by,Voy por el momento de la vida.,markov_ml,-4.0065,voy por el momento de la vida
los,13,art,the (masc. pl.),Los libros son para los niños.,markov_ml,-6.0841,los libros son para los niños
una,14,determiner,a; an; one (fem.),Tengo una casa de mi padre.,markov_ml,-3.0715,tengo una casa de mi padre
se,15,pron,oneself; himself; herself; itself; themselves,Se puede hacer de todo el mundo.,markov_ml,-3.1381,se puede hacer de todo el mundo
con,16,prep,with,Estoy con un amigo de mi padre.,markov_ml,-4.0148,estoy con un amigo de mi padre
qué,17,pron,what,No sé qué hacer con él.,markov_ml,-2.2601,no sé qué hacer con él
me,18,pron,me; myself,Me gusta mucho el uno al otro.,markov_ml,-3.0131,me gusta mucho el uno al otro
para,19,prep,for; to,Estoy para el fin de semana pasado.,markov_ml,-4.5416,estoy para el fin de semana pasado
las,20,pron,the (fem. pl.),Tengo las casas de la ciudad.,markov_ml,-6.9763,tengo las casas de la ciudad
del,21,contraction,of the; from the,Es la casa del vecino.,markov_ml,-8.4004,es la casa del vecino
te,22,pron,you; yourself,Te gusta mucho el uno al otro.,markov_ml,-4.9391,te gusta mucho el uno al otro
su,23,determiner,his; her; its; their; your (formal),Su libro es una buena idea.,markov_ml,-3.5977,su libro es una buena idea
pero,24,conj,but,Quiero ir pero no puedo hacer nada.,markov_ml,-4.4801,quiero ir pero no puedo hacer nada
si,25,conj,if; whether,No sé si es verdad eso.,markov_ml,-3.6535,no sé si es verdad eso
está,26,v,is (estar),Ella está en casa de mi padre.,markov_ml,-2.5620,ella está en casa de mi padre
mi,27,determiner,my,Mi libro es una buena idea.,markov_ml,-4.3308,mi libro es una buena idea
al,28,contraction,to the,Vamos al cine.,markov_ml,-8.4819,vamos al cine
sí,29,pron,yes; oneself,Claro que sí en el mundo.,markov_ml,-7.2446,claro que sí en el mundo
como,30,conj,as,Es como tú no eres un hombre.,markov_ml,-4.0896,es como tú no eres un hombre
bien,31,adv,well-to-do,Ella está bien de su madre.,markov_ml,-4.1043,ella está bien de su madre
más,32,adv,more; most,Ella está más cerca de la casa.,markov_ml,-3.1101,ella está más cerca de la casa
eso,33,pron,that (neuter),Ella es eso lo que ha hecho.,markov_ml,-3.3500,ella es eso lo que ha hecho
yo,34,pron,I,Yo estoy aquí por un momento.,markov_ml,-3.6873,yo estoy aquí por un momento
le,35,pron,him; her; you (formal),No le veo por qué la gente.,markov_ml,-3.8614,no le veo por qué la gente
aquí,36,adv,here,Aquí no hay nada que hacer eso.,markov_ml,-2.8321,aquí no hay nada que hacer eso
tu,37,determiner,your,Tu libro es muy importante para mí.,markov_ml,-5.0580,tu libro es muy importante para mí
todo,38,determiner,all; every; everything,Todo libro es muy importante para mí.,markov_ml,-6.1149,todo libro es muy importante para mí
ha,39,v,has (haber),Ha dicho que no lo he visto.,markov_ml,-3.5045,ha dicho que no lo he visto
ya,40,adv,already; now,Ya no hay nada que ver.,markov_ml,-2.3872,ya no hay nada que ver
o,41,conj,or,Quieres ir o no es una persona.,markov_ml,-6.2726,quieres ir o no es una persona
esto,42,pron,this (neuter),Esto es importante para todos los días.,markov_ml,-3.3473,esto es importante para todos los días
muy,43,adv,very,Ella está muy cerca de la casa.,markov_ml,-2.6192,ella está muy cerca de la casa
esta,44,determiner,this (fem.),Esta casa es demasiado tarde para hacer.,markov_ml,-3.6185,esta casa es demasiado tarde para hacer
ahora,45,adv,now...now; whether...or,Ahora no tengo tiempo para hacer eso.,markov_ml,-2.6689,ahora no tengo tiempo para hacer eso
así,46,adv,like this,Así que no se puede hacer nada.,markov_ml,-2.0562,así que no se puede hacer nada
cuando,47,conj,when,Estoy cuando no hay nada que hacer.,markov_ml,-4.3382,estoy cuando no hay nada que hacer
hay,48,v,there is; there are,Hay algo que hacer algo así.,markov_ml,-3.2032,hay algo que hacer algo así
este,49,determiner,this,Este libro es muy importante para mí.,markov_ml,-3.1066,este libro es muy importante para mí
algo,50,pron,something; anything,Ella es algo que no hay nada.,markov_ml,-3.9096,ella es algo que no hay nada
estoy,51,v,to be,No estoy de acuerdo con él.,markov_ml,-2.7238,no estoy de acuerdo con él
vamos,52,v,we go; let's go (ir),No vamos a hacer eso por mí.,markov_ml,-2.4304,no vamos a hacer eso por mí
él,53,pron,he; him; masculine personal third person subject and disjunctive pronoun,Él está bien de su madre.,markov_ml,-3.9250,él está bien de su madre
ser,54,v,to be,Voy a ser una buena idea.,markov_ml,-2.2364,voy a ser una buena idea
bueno,55,adj,good,Él es bueno para el otro día.,markov_ml,-2.5507,él es bueno para el otro día
nos,56,pron,us; ourselves,Nos gusta mucho el uno al otro.,markov_ml,-4.8016,nos gusta mucho el uno al otro
sus,57,determiner,his; her; its; their; your (formal) (pl.),Sus libros son para los niños.,markov_ml,-7.0755,sus libros son para los niños
fue,58,v,was (ser/ir),No fue el primero en llegar.,markov_ml,-3.6663,no fue el primero en llegar
tengo,59,v,I have (tener),No tengo nada que ver con eso.,markov_ml,-1.9214,no tengo nada que ver con eso
era,60,v,was (ser); era,Ella era una mujer de mi padre.,markov_ml,-3.4595,ella era una mujer de mi padre
nada,61,pron,nothing; zero; zilch; not...anything,Ella es nada más que una persona.,markov_ml,-4.2673,ella es nada más que una persona
tiene,62,v,has (tener),No tiene nada que ver con eso.,markov_ml,-2.2842,no tiene nada que ver con eso
sé,63,v,I know (saber),No sé nada de lo que pasó.,markov_ml,-2.0304,no sé nada de lo que pasó
tú,64,pron,you,Tú estás bien con todos los días.,markov_ml,-4.9384,tú estás bien con todos los días
cómo,65,adv,how?,Ella está cómo llegar a ser.,markov_ml,-4.0580,ella está cómo llegar a ser
vez,66,n,time; instance,Una vez más personas que no sé.,markov_ml,-4.3094,una vez más personas que no sé
estás,67,v,you are (estar),No estás de acuerdo con la cabeza.,markov_ml,-2.9971,no estás de acuerdo con la cabeza
sólo,68,adv,sole,Sólo tienes que ir a la puerta.,markov_ml,-3.5053,sólo tienes que ir a la puerta
ella,69,pron,she; her,Ella está aquí para hablar con él.,markov_ml,-4.2383,ella está aquí para hablar con él
son,70,v,are (ser),Ellos son de lo que ha hecho.,markov_ml,-3.3404,ellos son de lo que ha hecho
hacer,71,v,to do,Voy a hacer un poco de tiempo.,markov_ml,-2.2800,voy a hacer un poco de tiempo
he,72,v,I have (haber),He visto a un hombre.,markov_ml,-4.7797,he visto a un hombre
porque,73,conj,because,Ella está bien porque tiene tiempo.,markov_ml,-7.7606,ella está bien porque tiene tiempo
todos,74,determiner,all; everyone,Todos los libros son buenos amigos.,markov_ml,-5.2761,todos los libros son buenos amigos
puedo,75,v,I can (poder),No puedo estar de acuerdo con él.,markov_ml,-1.6460,no puedo estar de acuerdo con él
quiero,76,v,I want (querer),Yo quiero un poco más de tiempo.,markov_ml,-2.6868,yo quiero un poco más de tiempo
gracias,77,n,thanks,Gracias por todo el día de hoy.,markov_ml,-4.1445,gracias por todo el día de hoy
puede,78,v,can; may (poder),No puede ser un poco de agua.,markov_ml,-2.7423,no puede ser un poco de agua
dos,79,num,dung; excrement,Tengo dos libros en la vida.,markov_ml,-6.0820,tengo dos libros en la vida
sin,80,prep,without,Estoy sin la ayuda de un amigo.,markov_ml,-4.0811,estoy sin la ayuda de un amigo
soy,81,v,I am (ser),Yo soy el único que puede ser.,markov_ml,-1.9005,yo soy el único que puede ser
