lemma,rank,pos,sentence,tokens,score,rejection_reasons
de,1,prep,Soy de aquí.,soy de aquí,-17.962648,
que,2,pron,Creo que está aquí.,creo que está aquí,-15.471047,
la,3,pron,La casa está bien.,la casa está bien,-17.936908,
no,4,,No hay nada.,no hay nada,-12.339606,
a,5,none,Voy a casa.,voy a casa,-12.772870,
el,6,art,El mundo es posible.,el mundo es posible,-18.423036,
y,7,conj,Tú y yo estamos aquí.,tú y yo estamos aquí,-21.423193,
en,8,prep,Estoy en casa.,estoy en casa,-15.551043,
es,9,v,Tú es posible.,tú es posible,-20.093038,
un,10,num,Un hombre tiene razón.,un hombre tiene razón,-20.082595,
lo,11,pron,Lo tengo claro.,lo tengo claro,-20.868068,
por,12,prep,Voy por agua.,voy por agua,-22.181561,
los,13,art,Los hombres están aquí.,los hombres están aquí,-18.901360,
una,14,determiner,Una casa está bien.,una casa está bien,-20.128020,
se,15,pron,Se puede hacer.,se puede hacer,-14.851865,
con,16,prep,Estoy con ella.,estoy con ella,-16.686430,
qué,17,pron,Qué es posible.,qué es posible,-15.392496,
me,18,pron,Me gusta mucho.,me gusta mucho,-15.151370,
para,19,prep,Es para ti.,es para ti,-14.506913,
las,20,pron,Las personas están aquí.,las personas están aquí,-19.164741,
del,21,contraction,Es del mundo.,es del mundo,-16.601408,
te,22,pron,Te gusta mucho.,te gusta mucho,-16.264739,
su,23,determiner,Su hija está bien.,su hija está bien,-19.130363,
pero,24,conj,Quiero ir pero no puedo.,quiero ir pero no puedo,-24.775292,
si,25,conj,Dime si puedes ir.,dime si puedes ir,-522.932046,
está,26,v,Ella está bien.,ella está bien,-14.460522,
mi,27,determiner,Mi casa está bien.,mi casa está bien,-19.009197,
al,28,contraction,Al gobierno está aquí.,al gobierno está aquí,-21.113154,
sí,29,pron,Sí es la vida.,sí es la vida,-17.314797,
como,30,conj,Ella va como un poco.,ella va como un poco,-25.267043,
bien,31,adv,Ella está bien.,ella está bien,-14.455522,
más,32,adv,Más ella está bien.,más ella está bien,-24.256596,
eso,33,pron,Eso es muy bien.,eso es muy bien,-14.950924,
yo,34,pron,Yo estoy aquí.,yo estoy aquí,-14.256100,
le,35,pron,Le hace años.,le hace años,-15.507354,
aquí,36,adv,Ella está aquí.,ella está aquí,-15.212206,
tu,37,determiner,Tu padre está bien.,tu padre está bien,-17.793691,
todo,38,determiner,Todo está bien.,todo está bien,-15.357146,
ha,39,v,,ella ha pasado,-16.551219,no_verb
ya,40,adv,Ella ya está bien.,ella ya está bien,-19.097863,
o,41,conj,Ella va o algo.,ella va o algo,-24.550764,
esto,42,pron,Esto es así.,esto es así,-15.330549,
muy,43,adv,Esto es muy bueno.,esto es muy bueno,-18.918596,
esta,44,determiner,Esta casa está bien.,esta casa está bien,-19.200163,
ahora,45,adv,Ahora ella está bien.,ahora ella está bien,-19.323206,
así,46,adv,Así ella está bien.,así ella está bien,-20.430900,
cuando,47,conj,Ella va cuando el mundo.,ella va cuando el mundo,-27.045837,
hay,48,v,Ella hay algo.,ella hay algo,-20.336790,
este,49,determiner,Este hombre está bien.,este hombre está bien,-18.882818,
algo,50,pron,Algo por qué hay alguna vez.,algo por qué hay alguna vez,-25.253128,
estoy,51,v,Yo estoy aquí.,yo estoy aquí,-14.256100,
vamos,52,v,Nosotros vamos a casa.,nosotros vamos a casa,-18.952382,
él,53,pron,Él está bien.,él está bien,-14.611716,
ser,54,v,,voy a ser,-15.374626,too_many_verbs_for_beginner
bueno,55,adj,Esto es bueno.,esto es bueno,-16.723570,
nos,56,pron,Nos está bien.,nos está bien,-15.805506,
sus,57,determiner,Sus amigos es un poco.,sus amigos es un poco,-23.999981,
fue,58,v,,ella fue un trabajo en la vida,-29.825622,complex_verb_form_for_beginner
tengo,59,v,Yo tengo tiempo.,yo tengo tiempo,-15.801743,
era,60,v,,ella era su trabajo de un momento,-32.374788,complex_verb_form_for_beginner
nada,61,pron,Nada de eso no es la gente.,nada de eso no es la gente,-30.419580,
tiene,62,v,Ella tiene razón.,ella tiene razón,-16.774177,
sé,63,v,Yo sé qué.,yo sé qué,-16.630877,
tú,64,pron,Tú estás aquí.,tú estás aquí,-15.540417,
cómo,65,adv,Cómo ella está bien.,cómo ella está bien,-20.761303,
vez,66,n,Tengo un vez.,tengo un vez,-21.284990,
estás,67,v,Tú estás aquí.,tú estás aquí,-15.540417,
sólo,68,adv,Ella sólo estoy aquí.,ella sólo estoy aquí,-20.342759,
ella,69,pron,Ella está bien.,ella está bien,-14.452022,
son,70,v,Ellos son muy bien.,ellos son muy bien,-17.964038,
hacer,71,v,,voy a hacer,-13.948809,too_many_verbs_for_beginner
he,72,v,,ella he estado,-20.890071,no_verb
porque,73,conj,Ella va porque el mundo.,ella va porque el mundo,-28.123258,
todos,74,determiner,Todos estamos aquí.,todos estamos aquí,-16.132897,
puedo,75,v,Yo puedo más.,yo puedo más,-19.733358,
quiero,76,v,Yo quiero más.,yo quiero más,-18.644412,
gracias,77,n,Muchas gracias por qué estás bien.,muchas gracias por qué estás bien,-23.954810,
puede,78,v,Ella puede alguien.,ella puede alguien,-20.460675,
dos,79,num,Dos son los años.,dos son los años,-21.253126,
sin,80,prep,,hablo sin una casa y se lo,-45.291600,support_vocab_too_advanced
soy,81,v,Yo soy un poco.,yo soy un poco,-15.727066,
sobre,82,prep,,hablo sobre todo el de la noche,-31.795536,support_vocab_too_advanced
ese,83,determiner,Ese hombre está bien.,ese hombre está bien,-19.149484,
estaba,84,v,,ella estaba allí,-16.270618,no_verb; complex_verb_form_for_beginner
también,85,adv,Ella también está bien.,ella también está bien,-19.780775,
tiempo,86,n,Tengo tiempo juntos.,tengo tiempo juntos,-17.364220,
tan,87,adv,Esto es tan bueno.,esto es tan bueno,-19.507111,
entonces,88,adv,Entonces ella está bien.,entonces ella está bien,-18.587622,
creo,89,v,Yo creo en el hombre.,yo creo en el hombre,-21.758136,
tienes,90,v,Tú tienes razón.,tú tienes razón,-16.430578,
casa,91,n,Tengo una casa.,tengo una casa,-15.300945,
usted,92,pron,Usted está bien.,usted está bien,-14.816595,
esa,93,determiner,Esa casa está bien.,esa casa está bien,-20.606612,
voy,94,v,Yo voy a casa.,yo voy a casa,-15.658194,
sabes,95,v,Tú sabes qué.,tú sabes qué,-17.077401,
eres,96,v,Tú eres muy bien.,tú eres muy bien,-15.912815,
verdad,97,n,Tengo una verdad.,tengo una verdad,-17.828572,
hasta,98,prep,,vengo hasta aquí,-20.961614,support_vocab_too_advanced; avg_support_vocab_too_advanced
solo,99,adj,Esto es solo.,esto es solo,-16.499382,
nunca,100,adv,Ella nunca está bien.,ella nunca está bien,-21.279393,
