lemma,rank,translation,pos
de,1,of; from,Preposition
que,2,that; which,Conjunction
la,3,the,Article
no,4,not,Adverb
a,5,to; at,Preposition
el,6,the,Article
y,7,and,Conjunction
en,8,in; on; at,Preposition
es,9,he is; she is; it is,Verb
un,10,a; an,Article
lo,11,it; him,Pronoun
por,12,by; for,Preposition
los,13,the,Article
una,14,a; an,Article
se,15,oneself; himself; herself; itself; themselves,Pronoun
con,16,with,Preposition
qué,17,what; which,Pronoun
me,18,me,Pronoun
para,19,for; to,Preposition
las,20,the,Article
del,21,of the; from the,Contraction
te,22,you,Pronoun
su,23,his; her; its; your; their,Determiner
pero,24,but,Conjunction
si,25,if,Conjunction
está,26,he is; she is; it is,Verb
mi,27,my,Determiner
al,28,to the”,Contraction
sí,29,yes,Adverb
como,30,as; like; how,Conjunction
bien,31,well,Adverb
más,32,more; most,Adverb
eso,33,that,Pronoun
yo,34,I,Pronoun
le,35,him; her; it,Pronoun
aquí,36,here,Adverb
tu,37,your,Determiner
todo,38,everything; all,Pronoun
ha,39,he has; she has; it has,Verb
ya,40,already; now,Adverb
o,41,or,Conjunction
esto,42,this,Pronoun
muy,43,very,Adverb
esta,44,this,Determiner
ahora,45,now,Adverb
así,46,like this; so; thus,Adverb
cuando,47,when,Conjunction
hay,48,there is; there are,Verb
este,49,this,Determiner
algo,50,something; somewhat,Pronoun
estoy,51,I am,Verb
vamos,52,we go; let's go,Verb
él,53,he; him,Pronoun
ser,54,to be,Verb
bueno,55,good,Adjective
nos,56,us; ourselves,Pronoun
sus,57,his; her; its; your; their,Determiner
fue,58,he went; she went; it went,Verb
tengo,59,I have,Verb
era,60,age,Noun
nada,61,nothing,Pronoun
tiene,62,he has; she has; it has,Verb
sé,63,I know,Verb
tú,64,you,Pronoun
cómo,65,how,Adverb
vez,66,time; instance,Noun
estás,67,you are,Verb
sólo,68,only; just,Adverb
ella,69,she; her,Pronoun
son,70,they are; are,Verb
hacer,71,to do,Verb
he,72,I have,Verb
porque,73,because,Conjunction
todos,74,all; everyone,Pronoun
puedo,75,I am able to,Verb
quiero,76,I want,Verb
gracias,77,thanks; thank you,interjection
puede,78,"could be; it""s possible",Verb
dos,79,two,Number
sin,80,without,Preposition
soy,81,I am,Verb
sobre,82,on; about; over,Preposition
ese,83,that,Determiner
estaba,84,I was,Verb
también,85,also; too,Adverb
tiempo,86,time,Noun
tan,87,so; such; as,Adverb
entonces,88,then; next; thereupon; at that time,Adverb
creo,89,I believe,Verb
tienes,90,you have,Verb
casa,91,house,Noun
usted,92,you,Pronoun
esa,93,that,Determiner
voy,94,I go,Verb
sabes,95,you know?,interjection
eres,96,you are,Verb
verdad,97,truth,Noun
hasta,98,until; up to,Preposition
