lemma,rank,pos,family,rank_block,translation,canonical_lemma,source_method,template_id,quality_tier,failure_reason,policy_exclusion_reason
de,1,prep,prep,1_1000,of; from,de,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
que,2,pron,pron,1_1000,that,que,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
las,20,pron,pron,1_1000,the (fem. pl.),las,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
del,21,contraction,contraction,1_1000,of the; from the,del,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
al,28,contraction,contraction,1_1000,to the,al,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
como,30,conj,conj,1_1000,as,como,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
cuando,47,conj,conj,1_1000,when,cuando,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
hasta,98,prep,prep,1_1000,until,hasta,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
hola,104,interj,interj,1_1000,hello; hi; hey,hola,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dónde,111,adv,adv,1_1000,where?,dónde,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
oh,117,interj,interj,1_1000,oh,oh,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
uno,120,num,num,1_1000,one,uno,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
poco,130,adv,adv,1_1000,little; not much,poco,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
entre,142,prep,prep,1_1000,between,entre,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
menos,167,adv,adv,1_1000,less; fewer,menos,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
fuera,170,adv,adv,1_1000,outside,fuera,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tres,176,num,num,1_1000,three,tres,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
sr.,185,none,residual,1_1000,abbreviation of Señor,sr.,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tanto,193,adv,adv,1_1000,so much,tanto,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
durante,222,prep,prep,1_1000,during; in; over,durante,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
mientras,241,conj,conj,1_1000,while; whilst; as,mientras,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
pues,255,conj,conj,1_1000,so; then,pues,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
mío,257,determiner,determiner,1_1000,mine,mío,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
casi,269,adv,adv,1_1000,almost,casi,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
eh,278,,residual,1_1000,hey!,eh,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
bajo,321,prep,prep,1_1000,under,bajo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ah,325,,residual,1_1000,ah,ah,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
quizá,327,adv,adv,1_1000,perhaps; maybe,quizá,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
además,335,adv,adv,1_1000,in addition; moreover; furthermore; further; also; additionally,además,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
pronto,343,adv,adv,1_1000,prompt; on time,pronto,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
sino,346,conj,conj,1_1000,but (rather),sino,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
muchos,351,determiner,determiner,1_1000,several,mucho,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
incluso,355,adv,adv,1_1000,enclosed; included,incluso,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
siquiera,360,adv,adv,1_1000,if only,siquiera,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ayer,372,adv,adv,1_1000,yesterday,ayer,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
según,377,prep,prep,1_1000,according to,según,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
