lemma,rank,pos,band,translation,sentence,english_sentence,target_form,canonical_lemma,target_morph,target_index,support_ranks,avg_support_rank,max_support_rank,template_id,source_method,english_source_method,parallel_pair_id,score,english_score
bueno,55,adj,A1,good,El hombre es bueno.,,bueno,bueno,Gender=Masc|Number=Sing,3,6 116 9,43.666666666666664,116,seeded_adj_fallback,seeded_template,,,7.7376977835113205,0.0
casa,91,n,A1,house,La casa está aquí.,,casa,casa,Gender=Fem|Number=Sing,1,3 26 36,21.666666666666668,36,seeded_noun_here,seeded_template,,,10.652599476228351,0.0
hombre,116,n,A1,man,El hombre es bueno.,,hombre,hombre,Gender=Masc|Number=Sing,1,6 9 55,23.333333333333332,55,n_a1_1,template_generated,,,7.7376977835113205,0.0
ir,145,v,A1,to go,Él puede ir.,,ir,ir,VerbForm=Inf,2,11 75,43,75,v_a1_inf,template_generated,,,9.562016104667563,0.0
mundo,155,n,A1,world,El mundo es nuevo.,,mundo,mundo,Gender=Masc|Number=Sing,1,6 9 177,64,177,n_a1_1,template_generated,,,9.218465548851164,0.0
gente,156,n,A1,people,La gente es buena.,,gente,gente,Gender=Fem|Number=Sing,1,3 9 55,22.333333333333332,55,n_a1_1,template_generated,,,9.656733844034749,0.0
padre,158,n,A1,Father,El padre es bueno.,,padre,padre,Gender=Masc|Number=Sing,1,6 9 55,23.333333333333332,55,n_a1_1,template_generated,,,7.107805244107583,0.0
hablar,173,v,A1,to talk,Quiero hablar sobre ello.,,hablar,hablar,VerbForm=Inf,1,76 82 11,56.333333333333336,82,retrieved,retrieved_corpus,,,13.622421660766516,0.0
tener,174,v,A1,to have,Él quiere tener una casa.,,tener,tener,VerbForm=Inf,2,11 76 10 91,47,91,v_a1_inf,template_generated,,,8.919874888324014,0.0
mujer,191,n,A1,woman,La mujer es buena.,,mujer,mujer,Gender=Fem|Number=Sing,1,3 9 55,22.333333333333332,55,n_a1_1,template_generated,,,9.454737266225436,0.0
hijo,198,n,A1,son,El hijo es bueno.,,hijo,hijo,Gender=Masc|Number=Sing,1,6 9 55,23.333333333333332,55,n_a1_1,template_generated,,,7.709387782529756,0.0
amigo,210,n,A1,friend,Él tiene un amigo.,,amigo,amigo,Gender=Masc|Number=Sing,3,11 59 10,26.666666666666668,59,n_a1_3,template_generated,,,10.211765849134304,0.0
serio,274,adj,A1,serious,No es nada serio.,,serio,serio,Gender=Masc|Number=Sing,3,4 9 61,24.666666666666668,61,retrieved,retrieved_corpus,,,15.219849216810658,0.0
historia,283,n,A1,history,La historia es nueva.,,historia,historia,Gender=Fem|Number=Sing,1,3 9 177,63,177,n_a1_1,template_generated,,,7.637172930289649,0.0
salir,286,v,A1,to leave,Él quiere salir.,,salir,salir,VerbForm=Inf,2,11 76,43.5,76,v_a1_inf,template_generated,,,6.681859168987577,0.0
ciudad,289,n,A1,city,La ciudad es nueva.,,ciudad,ciudad,Gender=Fem|Number=Sing,1,3 9 177,63,177,n_a1_1,template_generated,,,7.607302028776897,0.0
hermano,299,n,A1,brother,Él tiene un hermano.,,hermano,hermano,Gender=Masc|Number=Sing,3,11 59 10,26.666666666666668,59,n_a1_3,template_generated,,,10.373951892377569,0.0
persona,309,n,A1,person,La persona es buena.,,persona,persona,Gender=Fem|Number=Sing,1,3 9 55,22.333333333333332,55,n_a1_1,template_generated,,,9.50609155977423,0.0
importante,313,adj,A1,important,El hombre es importante.,,importante,importante,Number=Sing,3,6 116 9,43.666666666666664,116,seeded_adj_fallback,seeded_template,,,9.680502701691356,0.0
puerta,318,n,A1,door,La puerta está aquí.,,puerta,puerta,Gender=Fem|Number=Sing,1,3 26 36,21.666666666666668,36,seeded_noun_here,seeded_template,,,11.260232816490426,0.0
volver,334,v,A1,to return,Él puede volver.,,volver,volver,VerbForm=Inf,2,11 75,43,75,v_a1_inf,template_generated,,,6.614076237360551,0.0
rápido,364,adj,A1,fast,El hombre es rápido.,,rápido,rápido,Gender=Masc|Number=Sing,3,6 116 9,43.666666666666664,116,seeded_adj_fallback,seeded_template,,,11.355906274182983,0.0
dejar,366,v,A1,to leave,Él quiere dejar la casa.,,dejar,dejar,VerbForm=Inf,2,11 76 3 91,45.25,91,v_a1_inf,template_generated,,,8.580925635008741,0.0
jefe,368,n,A1,chief,El jefe es bueno.,,jefe,jefe,Gender=Masc|Number=Sing,1,6 9 55,23.333333333333332,55,n_a1_1,template_generated,,,7.589820382378631,0.0
llegar,374,v,A1,to arrive,Ella puede llegar.,,llegar,llegar,VerbForm=Inf,2,11 75,43,75,v_a1_inf,template_generated,,,6.647483617553068,0.0
feliz,403,adj,A1,happy,La mujer es feliz.,,feliz,feliz,Number=Sing,3,3 191 9,67.66666666666667,191,seeded_adj_fallback,seeded_template,,,11.187449595451366,0.0
dar,410,v,A1,to give,Él puede dar ayuda.,,dar,dar,VerbForm=Inf,2,11 75 338,141.33333333333334,338,v_a1_inf,template_generated,,,7.149612883734052,0.0
tomar,419,v,A1,to take,Ella quiere tomar agua.,,tomar,tomar,VerbForm=Inf,2,11 76 304,130.33333333333334,304,v_a1_inf,template_generated,,,6.852884325534722,0.0
encontrar,422,v,A1,to meet,Él quiere encontrar una casa.,,encontrar,encontrar,VerbForm=Inf,2,11 76 10 91,47,91,v_a1_inf,template_generated,,,9.460308101230131,0.0
justo,424,adj,A1,just,No parece justo.,,justo,justo,Gender=Masc|Number=Sing,2,4 151,77.5,151,retrieved,retrieved_corpus,,,11.271194149639664,0.0
grande,428,adj,A1,big,La casa es grande.,,grande,grande,Number=Sing,3,3 91 9,34.333333333333336,91,seeded_adj_fallback,seeded_template,,,8.65626930396199,0.0
doctor,438,n,A1,doctor,Voy al doctor.,,doctor,doctor,Gender=Masc|Number=Sing,2,52 28,40,52,retrieved,retrieved_corpus,,,10.531025770665732,0.0
coche,458,n,A1,car,Él tiene un coche.,,coche,coche,Gender=Masc|Number=Sing,3,11 59 10,26.666666666666668,59,n_a1_3,template_generated,,,10.319565149280841,0.0
trabajar,460,v,A1,to work,Ella puede trabajar.,,trabajar,trabajar,VerbForm=Inf,2,11 75,43,75,v_a1_inf,template_generated,,,9.081892551436194,0.0
entrar,465,v,A1,to enter,Él puede entrar.,,entrar,entrar,VerbForm=Inf,2,11 75,43,75,v_a1_inf,template_generated,,,6.551247630290324,0.0
vivir,466,v,A1,to live,Ella puede vivir.,,vivir,vivir,VerbForm=Inf,2,11 75,43,75,v_a1_inf,template_generated,,,6.767376887618539,0.0
pueblo,469,n,A1,town,El pueblo es nuevo.,,pueblo,pueblo,Gender=Masc|Number=Sing,1,6 9 177,64,177,n_a1_1,template_generated,,,9.449488808333061,0.0
joven,471,adj,A1,young,El hombre es joven.,,joven,joven,Number=Sing,3,6 116 9,43.666666666666664,116,seeded_adj_noun,seeded_template,,,8.87632721962331,0.0
escuela,474,n,A1,school,La escuela es grande.,,escuela,escuela,Gender=Fem|Number=Sing,1,3 9 171,61,171,n_a1_1,template_generated,,,7.7269680888001195,0.0
