lemma,rank,pos,family,rank_block,translation,canonical_lemma,source_method,template_id,quality_tier,failure_reason,policy_exclusion_reason
de,1,prep,prep,1_1000,of; from,de,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
que,2,pron,pron,1_1000,that,que,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
las,20,pron,pron,1_1000,the (fem. pl.),las,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
del,21,contraction,contraction,1_1000,of the; from the,del,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
al,28,contraction,contraction,1_1000,to the,al,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
como,30,conj,conj,1_1000,as,como,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
cuando,47,conj,conj,1_1000,when,cuando,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
eres,96,v,v,1_1000,to be,ser,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
hasta,98,prep,prep,1_1000,until,hasta,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
hola,104,interj,interj,1_1000,hello; hi; hey,hola,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
vida,108,n,n,1_1000,life,vida,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dónde,111,adv,adv,1_1000,where?,dónde,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
oh,117,interj,interj,1_1000,oh,oh,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
uno,120,num,num,1_1000,one,uno,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
siento,122,v,v,1_1000,I feel (sentir); I'm sorry,sentir,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
había,123,v,v,1_1000,makes pluperfect to verbs as part of the auxiliary verb haber,haber,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
día,127,n,n,1_1000,day,día,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
poco,130,adv,adv,1_1000,little; not much,poco,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
mismo,134,adj,adj,1_1000,same,mismo,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
entre,142,prep,prep,1_1000,between,entre,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
noche,143,n,n,1_1000,after dark; (late) at night; nocturnally,noche,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
mis,147,n,n,1_1000,my (pl.),mi,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
parte,163,n,n,1_1000,part,parte,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
menos,167,adv,adv,1_1000,less; fewer,menos,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
fuera,170,adv,adv,1_1000,outside,fuera,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
gran,171,adj,adj,1_1000,big; large,gran,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
lugar,172,n,n,1_1000,place,lugar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tres,176,num,num,1_1000,three,tres,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
claro,181,adj,adj,1_1000,clear; easily understood,claro,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
mañana,184,n,n,1_1000,tomorrow,mañana,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
sr.,185,none,residual,1_1000,abbreviation of Señor,sr.,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,policy_excluded_metalinguistic_surface
días,188,n,n,1_1000,days,día,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
tanto,193,adv,adv,1_1000,so much,tanto,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
nombre,216,n,n,1_1000,name,nombre,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
veces,218,n,n,1_1000,by; times,vez,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
mamá,219,n,n,1_1000,mum; mom,mamá,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
