rank,sentence
1,De qué se trata shermin.
2,Tenemos que esperar y ver si se despierta.
3,No soy la directora de la oficina.
4,Mi madre no me cuenta nada.
5,Hasta llegar a la puerta del foro.
6,No sería el tipo de marido ideal.
7,Una voz y un acordeón.
8,Así que te convertiré en oruga.
9,La enfermera me ha dicho que es un niño.
10,No tienes un problema de ratones.
11,Sé lo que estoy haciendo papá.
12,Por qué quiere saber el nombre.
13,Qué hay sobre los archivos ultra secretos.
14,Bueno no es una mala teoría.
15,No dejaré que esto se arruine.
16,Te dije que estaba con ella.
17,Qué pasa qué pasa con ella.
18,Ni siquiera me gustan los niños.
19,No estoy trabajando para una organización benéfica.
20,El horario será de las horas a las horas.
21,Salió del culo de mi amigo.
22,Todo lo que te rodea.
23,No estaba besando su trasero.
24,No pero no puedo correr el riesgo.
25,Ah entonces si será un placer.
26,Sé que ella está arrepentida de todo lo que pasó.
27,No puedes contárselo a mi madre.
28,Elecciones al parlamento europeo de luxemburgo.
29,Por el infierno que sí.
30,Lo dices como si hubiera tenido opción.
31,Muy bien tengo una idea.
32,Soy un dios más o menos.
33,Escucha eso es lo que es.
34,Yo no soy tu amiga.
35,Le he dicho que no se despertará.
36,No podemos hacer más aquí.
37,Bueno tu madre es decir.
38,Todo se trata de sexo.
39,Me ha dicho que te diga que le ha encantado.
40,Ya se nos ha ido.
41,No necesitan una o sí.
42,Estamos en la oscuridad en esto.
43,Es muy agradable de tu parte.
44,Nadie lo tiene esta noche.
45,Ahora mismo yo lo estoy.
46,Así se ve nuestro objetivo.
47,Sabes cuando yo estaba pensando en adoptar.
48,Qué hay de la persona que lo mató.
49,A través de este denso velo.
50,No puede hacer algo así.
51,Puedo creer que estoy mirando esto.
52,Vamos nos antes que ronnie nos atrape acá abajo.
53,Él cree que lo es.
54,La modificación mencionada ha de ser aprobada por el congreso nacional.
55,Bueno uno más uno más.
56,Siempre nos va mal con los invitados.
57,Son fotos de sus hijos.
58,Por eso molly se fue.
59,Bueno qué se supone que tengo que hacer.
60,Mi pa no era un hombre endeble.
61,Bueno no me voy nada.
62,Tienes razón esta vez jamie tiene que quedarse en casa.
63,Sé que debía haberle dicho.
64,Por lo que he oído tú también.
65,Cómo que se lo merecía.
66,Tal vez el monstruo es real.
67,Estás hecho para ser un boxeador.
68,Sólo tenemos al año.
69,No era de ella de él.
70,No no son malas en absoluto.
71,No sé lo que vamos a hacer con todo esto pero toma.
72,Quizá porque me he acostado con ella.
73,No podía porque no me arrepiento.
74,Todos estaban a punto de llorar.
75,Puedo hacerlo mejor y lo haré.
76,Sabes que yo tambien te quiero.
77,Gracias a dios que no estás allí.
78,A veces puede ser bastante.
79,Hace dos días que ese no funciona.
80,No se quedará sin pagar por esto.
81,Soy ambos virus y angel.
82,Podría ser cualquiera que supiera sobre ella.
83,Él es el hijo de ese bastardo.
84,Quién estaba en el rammer jammer.
85,También dije que no era suficiente.
86,Un amigo de hace mucho tiempo.
87,Es porque has descubierto que las cosas no me van tan bien.
88,Es así como será entonces.
89,Creo que van a por mí.
90,Es todo lo que tienes para decir no lo sé.
91,No siempre me iba a casa.
92,No no es por usted.
93,Dame algo de esa bolsa.
94,Solo me voy a despedir.
95,No tu sabes que eso es imposible.
96,Eso solo prueba que eres mas rápido.
97,Eres la única verdad que tengo.
98,No hasta que uno de ustedes muera.
99,Solo haz que se enamore de ti otra vez.
100,Nunca hemos tenido uno antes.
101,Era un niño de años.
102,Gente a la que me hace feliz conocer.
103,Cómo va a ocurrir esto.
104,Hola otro más para usted.
105,No es por mucho tiempo.
106,Quieres decirnos quién irá a la fiesta.
107,Crees que me lo pasé mejor.
108,Estamos los dos con vida.
109,Lo mismo podría decir de ti.
110,A mí no me grites.
111,Dónde está la reina catalina.
112,Ni siquiera sabe lo que quiero que haga.
113,Sabes que nos están atacando.
114,En verdad nos hizo un favor.
115,Soy más fuerte que el señor de florencia.
116,Eres el hombre del año.
117,Oh dios te acostaste con él.
118,Siempre te he amado de acuerdo.
119,Tienes que venir conmigo a ver la grabación.
120,Usted no es uno de ellos y ellos no quieren que usted.
121,Por qué no quieres hablar de ello.
122,No me siento muy bien chicos.
123,Antes había un bar aquí.
124,Dios mío qué qué voy a hacer.
125,Has escrito una novela cojonuda.
126,No esto antes no pasaba.
127,No estarás aquí todo el día.
128,Sé lo que parece así que les digo desde ahora.
129,Tenemos la cámara de afuera.
130,Qué tal un poco de intimidad.
131,Siento mucho cómo han salido las cosas.
132,Empezó a verte a ti.
133,No se podría en otra casa.
134,Se que sientes lo mismo.
135,Mire usted y los de su clase han expoliado nuestros valles.
136,Me has hecho parecer débil.
137,Ahora quieres a alguien nueva.
138,Puedes conseguir una huella de una foto.
139,En realidad no no vamos a empezar por ahí.
140,Le dijo a tu madre que estabas muerto.
141,Lo mejor ahora es estar tranquilos.
142,Le dejarán nuevo entre los dos.
143,Fue un poco más de una noche.
144,Creo que nosotros hemos hecho nuestro trabajo.
145,Nunca debes ir allí de nuevo.
146,En el año después.
147,No entiendes mis ideas ni el arte.
148,Ojalá sea verdad.
149,Sólo quiero hablar de acuerdo.
150,Qué le ha pasado al otro.
151,Me parece que la policía está de camino.
152,Aquí es donde me trajo.
153,Así que hay cuatro de ellos.
154,Algunos no estamos de broma.
155,Es un gran mundo gran mundo.
156,Sabes cómo hacer sentir bien a la gente.
157,Nosotros no nos quedamos en el auto.
158,Él no quiere ser padre.
159,Organismos de inteligencia del estado.
160,No había nadie en casa así que.
161,Tal vez os lleve conmigo.
162,Sé que no les caigo bien.
163,Qué haces en esta parte de la casa.
164,Tamer abdo amin colgó el video que ha sido visto veces en facebook con el siguiente comentario.
165,De momento nadie le ha visto.
166,Srta idgie podría abrir la puerta.
167,Estaba a menos de horas de vida.
168,Mira por qué no volvemos dentro.
169,Si quiere ayudar a su hija va a tener que ser paciente.
170,Se prohíbe pescar fuera de los períodos hábiles para la pesca.
171,Yo soy un gran admirador de los trenes.
172,En segundo lugar que no ha dicho.
173,No sé como hablar con él.
174,Una cosa buena de tener la peor habitación del campus.
175,Su compañero tenía el dinero.
176,Hay otras tres que no puede ver.
177,Usted debe ser nuevo aqu.
178,Supongo que eso no pasa.
179,Cómo puedo saber que vas a regresar la pluma a este.
180,Así que buenas noches a todos y cada uno.
181,Claro pero cómo sabe a dónde ir.
182,Es que tengo el dinero.
183,Se lo dice su madre.
184,Esta mañana fue a la casa de la profesora.
185,Mañana viene el sr. García.
186,No ese tipo tú no quieres saber.
187,No tenemos que morir aquí hoy.
188,No eres tú la que hablaba con ella todos los días.
189,Luego de que se los llevó tashandra.
190,Hasta yo sé que tienes que ir allí.
191,Es que soy una mujer.
192,Sólo estoy tratando de vender nuestro software.
193,No entiendo por qué a ella le gustan tanto.
194,Cómo podría ser otra cosa.
195,Usted lo sabe todo cierto.
196,Han llegado de todas partes.
197,Ha estado haciendo eso por casi ocho horas.
198,Tengo la palabra de mi hijo.
199,Mi otro lado del cerebro dice.
200,Estás seguro que es lo que ella dijo realmente.
201,Parece que podemos estar ante un asesino en serie.
202,Debe haber algo al fondo de todo esto.
