lemma,rank,translation,original_lemma,pos
de,1,Indicated membership,de,prep
que,2,"Word used to refer to a word or phrase previously expressed as antecedent, connecting it with an idea that will be expressed later",que,pron
la,3,Article determined female singular,la,art
no,4,Denial or refusal,no,n
a,5,Name of letter a1,a,n
el,6,Article determined male singular,el,art
y,7,Copulative conjunction concluding a list,y,conj
en,8,"With regard to a temporal, chronological or conceptual environment, under which something is done",en,prep
es,9,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of being",ser,v
un,10,Unique male indeterminate article,un,art
lo,11,A specific article of neutral gender used to substantiveize adjectives or phrases,el,art
por,12,Indicates the agent plugin in the passive voice,por,prep
los,13,Article determined plural male. The singular is the,los,art
una,14,Unique female indeterminate article,una,art
se,15,(emphasis added) It is used as an optional addition to the verb to emphasize the action,se,part
con,16,In company of,con,prep
qué,17,Essence,qué,n
me,18,Onomatopoeia of the sheep's scavenging,me,n
para,19,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative stop",parar,v
las,20,Article determined plural feminine. It precedes feminine nouns in plural stating that these must be taken as general information known,las,art
del,21,Contraction of the preposition of and the article,del,contraction
te,22,Name of letter t,te,n
su,23,"The possessive adjective of the third person; of him, of her, of them, of them",su,adj
pero,24,Argument to the contrary,pero,n
si,25,"Seventh musical note of the Pythagorean or diatonic musical scale, located between the",si,n
está,26,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of being or being",estar,v
mi,27,Third note on the traditional European music scale,mi,n
al,28,Contraction of the preposition to and the article the (singular male) Form necessarily contract; the form * to the is not accepted by the,al,contraction
sí,29,"Action or effect of accepting, giving permission or asserting",sí,n
como,30,First person of the singular (me) of the present indicative of eating or eating,comer,v
bien,31,"Which is right, which is fair, which helps",bien,n
más,32,Sign representing a sum or addition operation,más,n
eso,33,"Generically designates a fact, idea or sentence stated above",eso,pron
yo,34,"Consciousness of the human person, especially in that he is able to perceive reality",yo,n
le,35,Article determined neutral singular,le,art
aquí,36,In the vicinity of the speaker or the communicator,aquí,adv
tu,37,Variant of yours,tu,adj
todo,38,The whole set of something,todo,n
ha,39,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of having",haber,v
ya,40,"Before the time in question, often the current",ya,adv
o,41,Name of letter o1,o,n
esto,42,At present,esto,adv
muy,43,"Express intense, extensive or abundant degree of the characteristic of the adjective or adverb to which it precedes and is characterized as an adverb of quantity or",muy,adv
esta,44,Form of the female in this2,este,unknown
ahora,45,"Right now, right now, right now",ahora,adv
así,46,First person of the singular (me) of the perfect preterite simple indicative of grasping or grasping,asir,v
cuando,47,Enter a sentence that indicates the moment when something happens,cuando,adv
hay,48,"Third person of the singular (he, she, it; you, 2nd person) of the present indicative of having",haber,v
