lemma,rank,pos,translation,sentence,source_method,score,tokens
de,1,prep,of; from,Estoy de acuerdo contigo en ese momento.,markov_ml,1.0888,estoy de acuerdo contigo en ese momento
que,2,pron,that,Sé que puedes hacer esto por mí.,markov_ml,-0.0095,sé que puedes hacer esto por mí
la,3,pron,the (fem.),La casa es muy importante para mí.,markov_ml,0.2663,la casa es muy importante para mí
no,4,,no; not,No me gusta ese tipo de cosas.,markov_ml,0.9825,no me gusta ese tipo de cosas
a,5,none,to; at,Voy a casa de mi padre.,markov_ml,0.3285,voy a casa de mi padre
el,6,art,the (masc.),El libro es muy importante para mí.,markov_ml,0.2536,el libro es muy importante para mí
y,7,conj,and,Tú y yo estamos aquí para ver.,markov_ml,-0.3965,tú y yo estamos aquí para ver
en,8,prep,in; at; on,Estoy en contra de la ciudad.,markov_ml,0.8472,estoy en contra de la ciudad
es,9,v,is (ser),No es tan importante como la gente.,markov_ml,0.8509,no es tan importante como la gente
un,10,num,a; an; one,Tengo un libro sobre la tierra.,markov_ml,0.4882,tengo un libro sobre la tierra
lo,11,pron,it; the (neuter),Ya lo tengo que ir a ver.,markov_ml,0.2030,ya lo tengo que ir a ver
por,12,prep,by,Voy por el bien del mal tiempo.,markov_ml,0.3601,voy por el bien del mal tiempo
los,13,art,the (masc. pl.),Los libros son para los niños.,markov_ml,-1.5764,los libros son para los niños
una,14,determiner,a; an; one (fem.),Tengo una casa de mi padre.,markov_ml,0.5408,tengo una casa de mi padre
se,15,pron,oneself; himself; herself; itself; themselves,No se sabe nada de esto.,markov_ml,0.5598,no se sabe nada de esto
con,16,prep,with,Estoy con un poco más de tres.,markov_ml,-0.0417,estoy con un poco más de tres
qué,17,pron,what,No sé qué hacer con los ojos.,markov_ml,1.0077,no sé qué hacer con los ojos
me,18,pron,me; myself,Me gusta mucho el uno al otro.,markov_ml,1.0542,me gusta mucho el uno al otro
para,19,prep,for; to,Voy para que no me gusta mucho.,markov_ml,-0.6913,voy para que no me gusta mucho
las,20,pron,the (fem. pl.),Las casas son un poco de agua.,markov_ml,-2.6140,las casas son un poco de agua
del,21,contraction,of the; from the,Es la casa del vecino.,markov_ml,-4.3157,es la casa del vecino
te,22,pron,you; yourself,Te gusta mucho el uno al otro.,markov_ml,-0.5020,te gusta mucho el uno al otro
su,23,determiner,his; her; its; their; your (formal),Su libro es muy importante para mí.,markov_ml,-0.0967,su libro es muy importante para mí
pero,24,conj,but,Quiero ir pero no puedo ver nada.,markov_ml,-1.0744,quiero ir pero no puedo ver nada
si,25,conj,if; whether,No sé si es verdad.,markov_ml,-1.2485,no sé si es verdad
está,26,v,is (estar),Ella está en contra de la ciudad.,markov_ml,0.7879,ella está en contra de la ciudad
mi,27,determiner,my,Mi libro es muy importante para mí.,markov_ml,-0.7568,mi libro es muy importante para mí
al,28,contraction,to the,Vamos al cine.,markov_ml,-3.5430,vamos al cine
sí,29,pron,yes; oneself,Claro que sí en el mundo.,markov_ml,-1.7866,claro que sí en el mundo
