lemma,rank,pos,sentence,rejection_reasons
venga,450,v,"Venga, inténtalo otra vez.",build_candidate_failed
venga,450,v,"Venga, no te rindas.",build_candidate_failed
venga,450,v,"Venga, vamos a casa.",build_candidate_failed
venga,450,v,"Venga, come algo.",build_candidate_failed
venga,450,v,"Venga, cuéntame más.",build_candidate_failed
venga,450,v,"Venga, date prisa.",build_candidate_failed
venga,450,v,"Venga, sonríe.",build_candidate_failed
venga,450,v,"Venga, ponte cómodo.",build_candidate_failed
venga,450,v,"Venga, vamos a bailar.",build_candidate_failed
venga,450,v,"Venga, cálmate.",build_candidate_failed
venga,450,v,"Venga, vamos a jugar.",build_candidate_failed
venga,450,v,"Venga, levántate.",build_candidate_failed
venga,450,v,"Venga, vamos a correr.",build_candidate_failed
venga,450,v,"Venga, sigue así.",build_candidate_failed
venga,450,v,"Venga, vamos a estudiar.",build_candidate_failed
venga,450,v,"Venga, toma un descanso.",build_candidate_failed
venga,450,v,"Venga, vamos a cenar.",build_candidate_failed
venga,450,v,"Venga, hazlo tú mismo.",build_candidate_failed
venga,450,v,"Venga, vamos a pasear.",build_candidate_failed
venga,450,v,"Venga, vamos a empezar.",build_candidate_failed
toma,453,v,Toma el mando ahora.,build_candidate_failed
escucha,467,v,Escucha la radio.,build_candidate_failed
escucha,467,v,Escucha música clásica.,build_candidate_failed
escucha,467,v,Escucha el teléfono.,build_candidate_failed
escucha,467,v,Escucha con atención.,build_candidate_failed
escucha,467,v,Escucha a tu madre.,build_candidate_failed
escucha,467,v,Escucha la grabación.,build_candidate_failed
escucha,467,v,Escucha la clase.,build_candidate_failed
escucha,467,v,Escucha al profesor.,build_candidate_failed
escucha,467,v,Escucha la canción.,build_candidate_failed
escucha,467,v,Escucha el podcast.,build_candidate_failed
escucha,467,v,Escucha el discurso.,build_candidate_failed
escucha,467,v,Escucha la noticia.,build_candidate_failed
escucha,467,v,Escucha el concierto.,build_candidate_failed
escucha,467,v,Escucha la charla.,build_candidate_failed
escucha,467,v,Escucha el informe.,build_candidate_failed
escucha,467,v,Escucha la conferencia.,build_candidate_failed
escucha,467,v,Escucha el mensaje.,build_candidate_failed
escucha,467,v,Escucha la historia.,build_candidate_failed
escucha,467,v,Escucha la canción nueva.,build_candidate_failed
escucha,467,v,Escucha la descripción.,build_candidate_failed
esté,512,v,Esté tranquilo.,build_candidate_failed
esté,512,v,Esté sentado.,build_candidate_failed
esté,512,v,Esté cómodo.,build_candidate_failed
esté,512,v,Esté atento.,build_candidate_failed
esté,512,v,Esté listo.,build_candidate_failed
esté,512,v,Esté presente.,build_candidate_failed
esté,512,v,Esté aquí.,build_candidate_failed
esté,512,v,Esté allí.,build_candidate_failed
esté,512,v,Esté cerca.,build_candidate_failed
esté,512,v,Esté lejos.,build_candidate_failed
esté,512,v,Esté limpio.,build_candidate_failed
esté,512,v,Esté ordenado.,build_candidate_failed
esté,512,v,Esté quieto.,build_candidate_failed
esté,512,v,Esté en silencio.,build_candidate_failed
esté,512,v,Esté de pie.,build_candidate_failed
esté,512,v,Esté relajado.,build_candidate_failed
esté,512,v,Esté despierto.,build_candidate_failed
esté,512,v,Esté alerta.,build_candidate_failed
esté,512,v,Esté preparado.,build_candidate_failed
esté,512,v,Esté contento.,build_candidate_failed
deberías,523,v,Deberías estudiar más.,build_candidate_failed
deberías,523,v,Deberías leer un libro.,build_candidate_failed
deberías,523,v,Deberías hacer ejercicio.,build_candidate_failed
deberías,523,v,Deberías beber agua.,build_candidate_failed
deberías,523,v,Deberías descansar.,build_candidate_failed
deberías,523,v,Deberías ayudar a tu hermano.,build_candidate_failed
deberías,523,v,Deberías lavar los platos.,build_candidate_failed
deberías,523,v,Deberías ir a la escuela.,build_candidate_failed
deberías,523,v,Deberías trabajar duro.,build_candidate_failed
deberías,523,v,Deberías cuidar de tus padres.,build_candidate_failed
deberías,523,v,Deberías hablar con él.,build_candidate_failed
deberías,523,v,Deberías escribir una carta.,build_candidate_failed
deberías,523,v,Deberías comer frutas.,build_candidate_failed
deberías,523,v,Deberías ver al médico.,build_candidate_failed
deberías,523,v,Deberías guardar dinero.,build_candidate_failed
deberías,523,v,Deberías aprender español.,build_candidate_failed
deberías,523,v,Deberías ser amable.,build_candidate_failed
deberías,523,v,Deberías apagar la luz.,build_candidate_failed
deberías,523,v,Deberías tomar café.,build_candidate_failed
deberías,523,v,Deberías sonreír.,build_candidate_failed
comer,538,v,Comer es importante.,build_candidate_failed
comer,538,v,Voy a comer ahora.,build_candidate_failed
comer,538,v,¿Qué hora es para comer?,build_candidate_failed
comer,538,v,Ven a comer conmigo.,build_candidate_failed
comer,538,v,Deberías comer más verduras.,build_candidate_failed
podrías,607,v,podrías ayudarme.,build_candidate_failed
podrías,607,v,podrías venir mañana.,build_candidate_failed
podrías,607,v,podrías traer agua.,build_candidate_failed
podrías,607,v,podrías abrir la ventana.,build_candidate_failed
