rank,word,sentence
123,había,Había mucha gente fuera.
141,estar,Quiero estar tranquilo hoy.
148,sea,Espero que sea verdad.
185,sr.,Hablé con el sr. López.
205,será,Mañana será mejor.
237,hemos,Hemos llegado tarde.
273,ven,Ven aquí ahora.
285,sería,Sería mejor callar.
354,hice,Ayer hice café.
362,fueron,Ellos fueron ayer.
400,eran,Antes eran así.
401,haya,Ojalá haya tiempo.
434,tenido,He tenido suerte.
480,fui,Ayer fui solo.
500,ido,Ya me he ido.
504,estaban,Ellos estaban dentro.
508,siendo,Sigue siendo útil.
539,sabemos,Nosotros sabemos eso.
553,estuvo,Todo estuvo bien.
572,tuve,Tuve mucha suerte.
583,sra.,La sra. llegó temprano.
599,estará,Ella estará aquí.
607,podrías,Podrías venir mañana.
620,dr.,El dr. me llamó ayer.
623,habían,Habían salido ya.
624,hagas,No hagas eso.
626,habrá,Habrá más café.
702,hacemos,Hacemos pan casero.
706,hacía,Antes hacía frío.
729,haría,Yo haría lo mismo.
775,hubo,Hubo un error.
809,srta.,La srta. sonrió al entrar.
850,seas,Ojalá seas feliz.
858,estaría,Yo estaría allí.
861,estábamos,Estábamos en casa.
892,quiera,No creo que quiera.
968,pude,Al final pude entrar.
999,eras,Tú eras distinto.
1018,tenían,Ellos tenían razón.
1040,serán,Ellos serán puntuales.
1108,tengas,Ojalá tengas suerte.
1117,estés,Espero que estés bien.
1130,tendría,Yo tendría cuidado.
1162,viendo,Sigo viendo eso.
1198,creía,Yo creía eso.
1237,tendré,Mañana tendré tiempo.
1406,veré,Ya veré luego.
1536,vayan,Que vayan despacio.
1575,hayas,Ojalá hayas comido.
1580,irá,Él irá mañana.
1605,estén,Espero que estén bien.
1708,quiso,Ella quiso ayudar.
1721,serás,Tú serás feliz.
1747,iban,Ellos iban juntos.
1773,quiénes,No sé quiénes fueron.
1833,fuese,Aunque fuese tarde.
1850,veía,Desde allí veía todo.
1899,estarán,Ellos estarán aquí.
1968,verá,Ya verá luego.
1979,ibas,Tú ibas delante.
1994,vengan,Que vengan todos.
1998,tuvieron,Ellos tuvieron suerte.
2054,sabido,Lo he sabido hoy.
2089,hablaba,Ella hablaba bajo.
2115,seres,Hay seres extraños.
2153,éramos,Éramos muy jóvenes.
2158,estan,En el chat escribió estan sin tilde.
2197,harán,Ellos harán ruido mañana.
2281,podré,Yo podré ir.
2314,dra.,La dra. me atendió hoy.
2357,podían,Antes podían entrar.
2424,poderes,Tiene grandes poderes.
2466,pongo,Yo pongo la mesa.
2468,podrán,Ellos podrán entrar.
2536,fueras,Ojalá fueras tú.
2604,pones,Tú pones la mesa.
2716,des,No des más vueltas.
2790,irás,Tú irás mañana.
2808,supo,Él lo supo ayer.
2865,daría,Yo daría si pudiera.
2972,hacían,Antes hacían ruido.
3017,estuvieron,Ellos estuvieron allí.
3048,vean,Ojalá vean eso.
3071,esperas,Tú esperas fuera.
3116,serían,Ellos serían si pudieran.
3172,iría,Yo iría si pudiera.
3228,pusieron,Ellos pusieron la mesa.
3237,sabrá,Ya sabrá mañana.
3310,sabían,Ellos sabían eso.
3331,pudieron,Ellos pudieron ayer.
3364,estando,Sigo estando ahora.
3428,quieran,Ojalá quieran venir.
3500,seamos,Ojalá seamos libres.
3617,vd.,¿Cómo está vd. hoy?
3674,habrían,Habrían llegado antes.
3702,digan,Que digan la verdad.
3781,sienten,Ellos sienten miedo.
3846,decían,Antes decían la verdad.
4071,decimos,Nosotros decimos la verdad.
4125,sabría,Yo sabría si pudiera.
4194,encontrará,Mañana encontrará.
4442,morirá,Algún día morirá.
4520,ponía,Antes ponía música.
4591,ee.uu.,Vivió en ee.uu. varios años.
4640,sepan,Ojalá sepan eso.
4836,volvía,Siempre volvía tarde.
5001,pongan,Que pongan música.
5056,estarían,Ellos estarían si pudieran.
5061,ponemos,Nosotros ponemos la mesa.
5420,creído,Siempre lo había creído.
5502,mundos,Existen muchos mundos.
5530,harían,Ellos harían lo mismo.
5697,dato,Ese dato importa.
5720,vería,Yo vería si pudiera.
5796,tendrían,Ellos tendrían razón.
5814,venían,Ellos venían juntos.
6114,serios,Se pusieron serios.
6138,empezaba,Antes empezaba aquí.
6206,sacando,Sigo sacando ahora.
6343,dirán,Ellos dirán algo.
6608,mañanas,Las mañanas son tranquilas.
6926,sabré,Yo sabré mañana.
7092,saldré,Yo saldré mañana.
7137,comisiones,Las comisiones son altas.
7672,a.m.,La cita es a las 8 a.m.
7735,entraba,Antes entraba aquí.
7830,llamará,Mañana llamará.
7961,favores,No pido favores.
8323,lees,Tú lees mucho.
8576,pagamos,Nosotros pagamos hoy.
8681,amores,Los amores cambian.
9037,parecerá,Mañana parecerá.
9057,vivirá,Mañana vivirá.
9306,quisieron,Ellos quisieron ayer.
9337,comenzaba,Antes comenzaba aquí.
9522,cambiamos,Nosotros cambiamos hoy.
9541,maridos,Sus maridos trabajan fuera.
9650,p.m.,Nos vemos a las 6 p.m.
9670,miedos,Tiene muchos miedos.
9753,disparan,Ellos disparan aquí.
9754,acabando,Sigo acabando ahora.
9786,e-mail,Te mandé un e-mail ayer.
9921,olvidaba,Antes olvidaba aquí.
9994,preguntamos,Nosotros preguntamos hoy.
10027,contará,Mañana contará.
10081,justos,No todos fueron justos.
10336,presentaba,Antes presentaba aquí.
10422,logran,Ellos logran entrar.
10432,roban,Ellos roban de noche.
10499,morimos,Aquí morimos luchando.
10529,decido,Yo decido hoy.
10540,creamos,Nosotros creamos hoy.
10637,salvando,Sigo salvando ahora.
10674,realidades,Hay realidades duras.
10684,es-,La palabra es- quedó cortada.
10780,navidades,Las navidades se acercan.
11030,controlan,Ellos controlan todo.
11086,partiendo,Sigo partiendo ahora.
11295,d.c.,Eso ocurrió en el siglo II d.c.
11457,mandos,Cambiaron los mandos.
11652,terminaba,Antes terminaba aquí.
11724,encontrando,Sigo encontrando ahora.
11776,formaciones,Hay formaciones nuevas.
11833,observan,Ellos observan en silencio.
11873,supieron,Ellos supieron ayer.
11938,aceptará,Mañana aceptará.
12036,ocupará,Mañana ocupará.
12070,dirían,Ellos dirían que no.
12362,salvará,Mañana salvará.
12420,ratos,Tengo ratos libres.
12507,precisos,Necesitamos datos precisos.
12527,dormimos,Nosotros dormimos hoy.
12767,parecemos,Hoy parecemos cansados.
12800,ayudamos,Nosotros ayudamos hoy.
12937,bolívares,Me quedaban pocos bolívares.
12982,resultará,Mañana resultará.
13014,actuaba,Antes actuaba aquí.
13053,vendrían,Ellos vendrían si pudieran.
13069,levantaba,Antes levantaba aquí.
13278,arreglará,Mañana arreglará.
13499,levantan,Ellos levantan polvo.
13553,buscará,Mañana buscará.
13560,barça,El barça ganó anoche.
13569,teatros,Cerraron dos teatros.
13759,esperará,Mañana esperará.
13785,nº,Es el nº 12 de la lista.
13831,caminó,Ayer caminó sin avisar.
13841,casan,Los casan mañana.
13844,logrará,Mañana logrará.
13984,irían,Ellos irían si pudieran.
13994,caminamos,Nosotros caminamos hoy.
14018,cuidará,Mañana cuidará.
14031,lunas,Pintó dos lunas azules.
14032,montó,Ayer montó sin avisar.
14083,marcando,Sigo marcando ahora.
14469,de-,La sílaba de- aparece al inicio.
14486,querrían,Ellos querrían si pudieran.
14568,richards,Ayer escuché a richards en directo.
14613,cantado,Ha cantado hoy.
14675,tocará,Mañana tocará.
14680,utilizaba,Antes utilizaba aquí.
14714,conocerá,Mañana conocerá.
14804,encargar,Voy a encargar la cena.
14877,alcanzando,Sigo alcanzando ahora.
14920,manejaba,Antes manejaba aquí.
14931,segundas,Prefiero las segundas partes.
14977,utilizamos,Nosotros utilizamos hoy.
14996,necesitó,Ayer necesitó sin avisar.
15069,revisamos,Nosotros revisamos hoy.
15437,creaciones,Sus creaciones sorprenden.
15443,partimos,Nosotros partimos hoy.
15553,evitó,Ayer evitó sin avisar.
15617,coca-cola,Pedí una coca-cola fría.
15750,enseñaba,Antes enseñaba aquí.
15791,cambiaba,Antes cambiaba aquí.
15816,comerá,Mañana comerá.
15852,metemos,Nosotros metemos hoy.
15936,mandamos,Nosotros mandamos hoy.
15951,cerraba,Antes cerraba aquí.
16072,tiramos,Nosotros tiramos hoy.
16082,comercios,Abrieron nuevos comercios.
16171,pesan,Estos paquetes pesan mucho.
16204,invitan,Nos invitan mañana.
16237,bailaba,Antes bailaba aquí.
16350,apartó,Ayer apartó sin avisar.
16356,despertando,Sigo despertando ahora.
16394,llorado,Ha llorado hoy.
16514,jovenes,Los jovenes llegaron pronto.
16551,contrarios,Había dos bandos contrarios.
16620,bienvenidas,Todas sois bienvenidas.
16735,mataba,Antes mataba aquí.
16839,eliminando,Sigo eliminando ahora.
17095,egoístas,Algunos son egoístas.
17177,cuestas,Las cuestas cansan.
17213,descubrirá,Mañana descubrirá.
17276,secretarios,Los secretarios llegaron pronto.
17300,realizaba,Antes realizaba aquí.
17342,ejecuciones,Hubo dos ejecuciones públicas.
17364,explicará,Mañana explicará.
17437,e-mails,Revisé los e-mails esta mañana.
17485,identificaciones,Pidieron identificaciones válidas.
17503,encargamos,Nosotros encargamos hoy.
17619,confiando,Sigo confiando ahora.
17670,subirá,Mañana subirá.
17681,dormirá,Mañana dormirá.
17685,aplicó,Ayer aplicó sin avisar.
18090,recogía,Antes recogía mucho.
18093,verían,Ellos verían si pudieran.
18381,soportaba,Antes soportaba aquí.
18413,escapaba,Antes escapaba aquí.
18436,venderá,Mañana venderá.
