lemma,rank,pos,sentence,tokens,combined,reranker,lm_logp
de,1,prep,Estoy de acuerdo contigo en ese momento.,estoy de acuerdo contigo en ese momento,1.0888,1.0888,-25.2776
que,2,pron,Sé que puedes hacer esto por mí.,sé que puedes hacer esto por mí,-0.0095,-0.0095,-31.1983
la,3,pron,La casa es muy importante para mí.,la casa es muy importante para mí,0.2663,0.2663,-28.6154
no,4,,No me gusta ese tipo de cosas.,no me gusta ese tipo de cosas,0.9825,0.9825,-24.1437
a,5,none,Voy a casa de mi padre.,voy a casa de mi padre,0.3285,0.3285,-27.4295
el,6,art,El libro es muy importante para mí.,el libro es muy importante para mí,0.2536,0.2536,-28.6946
y,7,conj,Tú y yo estamos aquí para ver.,tú y yo estamos aquí para ver,-0.3965,-0.3965,-31.3800
en,8,prep,Estoy en contra de la ciudad.,estoy en contra de la ciudad,0.8472,0.8472,-24.3272
es,9,v,No es tan importante como la gente.,no es tan importante como la gente,0.8509,0.8509,-25.8268
un,10,num,Tengo un libro sobre la tierra.,tengo un libro sobre la tierra,0.4882,0.4882,-26.4741
lo,11,pron,Ya lo tengo que ir a ver.,ya lo tengo que ir a ver,0.2030,0.2030,-29.8997
por,12,prep,Voy por el bien del mal tiempo.,voy por el bien del mal tiempo,0.3601,0.3601,-29.8271
los,13,art,Los libros son para los niños.,los libros son para los niños,-1.5764,-1.5764,-26.8648
una,14,determiner,Tengo una casa de mi padre.,tengo una casa de mi padre,0.5408,0.5408,-26.1598
se,15,pron,No se sabe nada de esto.,no se sabe nada de esto,0.5598,0.5598,-26.0458
con,16,prep,Estoy con un poco más de tres.,estoy con un poco más de tres,-0.0417,-0.0417,-32.3352
qué,17,pron,No sé qué hacer con los ojos.,no sé qué hacer con los ojos,1.0077,1.0077,-25.7840
me,18,pron,Me gusta mucho el uno al otro.,me gusta mucho el uno al otro,1.0542,1.0542,-23.6965
para,19,prep,Voy para que no me gusta mucho.,voy para que no me gusta mucho,-0.6913,-0.6913,-35.4548
las,20,pron,Las casas son un poco de agua.,las casas son un poco de agua,-2.6140,-2.6140,-35.9128
del,21,contraction,Es la casa del vecino.,es la casa del vecino,-4.3157,-4.3157,-31.8608
te,22,pron,Te gusta mucho el uno al otro.,te gusta mucho el uno al otro,-0.5020,-0.5020,-33.4114
su,23,determiner,Su libro es muy importante para mí.,su libro es muy importante para mí,-0.0967,-0.0967,-30.8813
pero,24,conj,Quiero ir pero no puedo ver nada.,quiero ir pero no puedo ver nada,-1.0744,-1.0744,-37.8463
si,25,conj,No sé si es verdad.,no sé si es verdad,-1.2485,-1.2485,-23.3544
está,26,v,Ella está en contra de la ciudad.,ella está en contra de la ciudad,0.7879,0.7879,-27.5378
mi,27,determiner,Mi libro es muy importante para mí.,mi libro es muy importante para mí,-0.7568,-0.7568,-35.0025
al,28,contraction,Vamos al cine.,vamos al cine,-3.5430,-3.5430,-19.8793
sí,29,pron,Claro que sí en el mundo.,claro que sí en el mundo,-1.7866,-1.7866,-35.1741
como,30,conj,Es como tú no eres el único.,es como tú no eres el único,-0.0057,-0.0057,-30.5142
bien,31,adv,Ella está bien de su padre.,ella está bien de su padre,-0.3433,-0.3433,-31.8128
más,32,adv,Ella está más cerca de aquí.,ella está más cerca de aquí,0.3457,0.3457,-27.6919
eso,33,pron,Ella es eso lo que pasó aquí.,ella es eso lo que pasó aquí,-0.0451,-0.0451,-31.8303
yo,34,pron,Yo estoy aquí para hablar con él.,yo estoy aquí para hablar con él,0.1130,0.1130,-29.8045
le,35,pron,Ya le tengo miedo a los niños.,ya le tengo miedo a los niños,-0.1702,-0.1702,-33.1379
