lemma,sentence,label
de,Estoy de acuerdo contigo en ese momento.,good
que,Sé que puedes hacer eso por mí.,good
la,La casa es demasiado tarde para eso.,nonsense
no,No me gusta ese tipo de cosas.,good
a,Voy a casa antes de salir.,good
el,El libro es demasiado tarde para eso.,nonsense
y,Tú y yo estamos aquí para ver.,good
en,Estoy en contra de la ciudad.,nonsense
es,Ella es la mejor forma de hablar.,nonsense
un,Tengo un libro sobre la historia.,good
lo,Ya lo tengo que volver a ver.,good
por,Voy por el bien del mal tiempo.,nonsense
los,Los libros son para los niños.,good
una,Tengo una casa de mi tío.,good
se,No se sabe nada de esto.,good
con,Estoy con las manos antes de ir.,nonsense
qué,No sé qué hacer con él.,good
me,Me gusta mucho el uno al otro.,nonsense
para,Voy para el fin de semana pasado.,nonsense
las,Tengo las casas de por aquí cerca.,nonsense
del,Es la casa del vecino.,good
te,Te gusta mucho el uno al otro.,nonsense
su,Su libro es demasiado tarde para eso.,nonsense
pero,Quiero ir pero no puedo ver nada.,good
si,No sé si es verdad eso.,good
está,Ella está en casa de mi padre.,good
mi,Mi libro es demasiado tarde para eso.,nonsense
al,Vamos al cine.,good
sí,Claro que sí en el mundo.,nonsense
como,Es como tú no eres el único.,nonsense
bien,Ella está bien de su padre.,nonsense
más,Ella está más cerca de aquí.,good
eso,Ella es eso lo que has hecho.,nonsense
yo,Yo estoy aquí por un tiempo.,good
le,Ya le tengo miedo a los niños.,good
aquí,Aquí no hay nada que ver.,good
tu,Tu libro es una buena idea.,good
todo,Tengo todo libro por la mañana.,nonsense
ha,Ha de ser un poco de agua.,nonsense
ya,Ya no hay nada que ver.,good
o,Quieres ir o no ser el mejor.,nonsense
esto,Esto es importante para los niños.,good
muy,Ella está muy cerca de la ciudad.,good
esta,Esta casa es la primera vez.,nonsense
ahora,Ahora no tengo ni idea de quién.,good
así,Así que no se puede hacer nada.,good
cuando,Estoy cuando no hay nada que ver.,nonsense
hay,Hay algo que hacer algo así.,nonsense
este,Este libro es una buena idea.,good
algo,Ella es algo que hacer eso.,nonsense
estoy,No estoy de acuerdo con él.,good
vamos,No vamos a hacer eso por mí.,good
él,Él está aquí para hablar de eso.,good
ser,Quiero ser el primero en llegar.,good
bueno,Él es bueno para el otro día.,nonsense
nos,Nos gusta mucho el uno al otro.,good
sus,Sus libros son para los niños.,good
fue,No fue el primero en llegar.,good
tengo,No tengo nada que ver con esto.,good
era,No era el único que tienes razón.,nonsense
nada,Nada es importante para los niños.,good
tiene,No tiene nada que ver con esto.,good
sé,Yo sé que es hora de volver.,good
tú,Tú estás aquí desde hace mucho tiempo.,good
cómo,Ella está cómo llegar a ser.,nonsense
vez,Una vez más personas que no sé.,nonsense
estás,No estás de acuerdo con la cabeza.,nonsense
sólo,Sólo tienes que ir a la policía.,good
ella,Ella está aquí para hablar con él.,good
son,Ellos son de una vez por semana.,nonsense
hacer,Voy a hacer las cosas que hacer.,nonsense
he,He visto en algún lugar.,nonsense
porque,No puedo porque estoy ocupado ahora.,good
todos,Todos los libros son buenos amigos.,good
puedo,No puedo estar de acuerdo con él.,good
quiero,Yo quiero un poco más de tiempo.,good
gracias,Muchas gracias por todo el día.,good
puede,Ella puede hablar un poco de tiempo.,nonsense
