lemma,rank,translation,original_lemma,pos
de,1,of; from,de,prep
que,2,that,que,pron
la,3,the (fem.),ella,pron
no,4,no; not,,
a,5,to; at,a,none
el,6,the (masc.),el,art
y,7,and,y,conj
en,8,in; at; on,en,prep
es,9,is (ser),ser,v
un,10,a; an; one,uno,num
lo,11,it; the (neuter),él,pron
por,12,by,por,prep
los,13,the (masc. pl.),el,art
una,14,a; an; one (fem.),uno,determiner
se,15,oneself; himself; herself; itself; themselves,se,pron
con,16,with,con,prep
qué,17,what,qué,pron
me,18,me; myself,yo,pron
para,19,for; to,para,prep
las,20,the (fem. pl.),ella,pron
del,21,of the; from the,del,contraction
te,22,you; yourself,tú,pron
su,23,his; her; its; their; your (formal),suyo,determiner
pero,24,but,pero,conj
si,25,if; whether,si,conj
está,26,is (estar),estar,v
mi,27,my,mío,determiner
al,28,to the,al,contraction
sí,29,yes; oneself,sí,pron
como,30,as,como,conj
bien,31,well-to-do,bien,adv
más,32,more; most,más,adv
eso,33,that (neuter),ése,pron
yo,34,I,yo,pron
le,35,him; her; you (formal),él,pron
aquí,36,here,aquí,adv
tu,37,your,tuyo,determiner
todo,38,all; every; everything,todo,determiner
ha,39,has (haber),haber,v
ya,40,already; now,ya,adv
o,41,or,o,conj
esto,42,this (neuter),éste,pron
muy,43,very,mucho,adv
esta,44,this (fem.),este,determiner
ahora,45,now...now; whether...or,ahora,adv
así,46,like this,así,adv
cuando,47,when,cuando,conj
hay,48,there is; there are,haber,v
este,49,this,este,determiner
algo,50,something; anything,algo,pron
estoy,51,to be,estar,v
vamos,52,we go; let's go (ir),ir,v
él,53,he; him; masculine personal third person subject and disjunctive pronoun,él,pron
ser,54,to be,ser,v
bueno,55,good,bueno,adj
nos,56,us; ourselves,nosotros,pron
sus,57,his; her; its; their; your (formal) (pl.),suyo,determiner
fue,58,was (ser/ir),ser,v
tengo,59,I have (tener),tener,v
era,60,was (ser); era,ser,v
nada,61,nothing; zero; zilch; not...anything,nada,pron
tiene,62,has (tener),tener,v
sé,63,I know (saber),saber,v
tú,64,you,tú,pron
cómo,65,how?,cómo,adv
vez,66,time; instance,vez,n
estás,67,you are (estar),estar,v
sólo,68,sole,solo,adv
ella,69,she; her,ella,pron
son,70,are (ser),ser,v
hacer,71,to do,hacer,v
he,72,I have (haber),haber,v
porque,73,because,porque,conj
todos,74,all; everyone,todo,determiner
puedo,75,I can (poder),poder,v
quiero,76,I want (querer),querer,v
gracias,77,thanks,gracias,n
puede,78,can; may (poder),poder,v
dos,79,dung; excrement,dos,num
sin,80,without,sin,prep
soy,81,I am (ser),ser,v
sobre,82,over; above; on; upon; atop,sobre,prep
ese,83,that,ese,determiner
estaba,84,was (estar),estar,v
también,85,also; too; as well,también,adv
tiempo,86,time,tiempo,n
tan,87,so; as,tan,adv
entonces,88,then; next; thereupon; at that time; at that point,entonces,adv
