lemma,rank,pos,translation,sentence,source_method,score,rejection_reasons
de,1,prep,of; from,Soy de aquí.,markov_chain,-17.962648,
que,2,pron,that,Creo que está aquí.,markov_chain,-15.471047,
la,3,pron,the (fem.),La casa está bien.,markov_chain,-17.936908,
no,4,,no; not,No hay nada.,markov_chain,-12.339606,
a,5,none,to; at,Voy a casa.,markov_chain,-12.772870,
el,6,art,the (masc.),El mundo es posible.,markov_chain,-18.423036,
y,7,conj,and,Tú y yo estamos aquí.,markov_chain,-21.423193,
en,8,prep,in; at; on,Estoy en casa.,markov_chain,-15.551043,
es,9,v,is (ser),Tú es posible.,markov_chain,-20.093038,
un,10,num,a; an; one,Un hombre tiene razón.,markov_chain,-20.082595,
lo,11,pron,it; the (neuter),Lo tengo claro.,markov_chain,-20.868068,
por,12,prep,by,Voy por agua.,markov_chain,-22.181561,
los,13,art,the (masc. pl.),Los hombres están aquí.,markov_chain,-18.901360,
una,14,determiner,a; an; one (fem.),Una casa está bien.,markov_chain,-20.128020,
se,15,pron,oneself; himself; herself; itself; themselves,Se puede hacer.,markov_chain,-14.851865,
con,16,prep,with,Estoy con ella.,markov_chain,-16.686430,
qué,17,pron,what,Qué es posible.,markov_chain,-15.392496,
me,18,pron,me; myself,Me gusta mucho.,markov_chain,-15.151370,
para,19,prep,for; to,Es para ti.,markov_chain,-14.506913,
las,20,pron,the (fem. pl.),Las personas están aquí.,markov_chain,-19.164741,
del,21,contraction,of the; from the,Es del mundo.,markov_chain,-16.601408,
te,22,pron,you; yourself,Te gusta mucho.,markov_chain,-16.264739,
su,23,determiner,his; her; its; their; your (formal),Su hija está bien.,markov_chain,-19.130363,
pero,24,conj,but,Quiero ir pero no puedo.,markov_chain,-24.775292,
si,25,conj,if; whether,Dime si puedes ir.,markov_chain,-522.932046,
está,26,v,is (estar),Ella está bien.,markov_chain,-14.460522,
mi,27,determiner,my,Mi casa está bien.,markov_chain,-19.009197,
al,28,contraction,to the,Al gobierno está aquí.,markov_chain,-21.113154,
sí,29,pron,yes; oneself,Sí es la vida.,markov_chain,-17.314797,
como,30,conj,as,Ella va como un poco.,markov_chain,-25.267043,
bien,31,adv,well-to-do,Ella está bien.,markov_chain,-14.455522,
más,32,adv,more; most,Más ella está bien.,markov_chain,-24.256596,
eso,33,pron,that (neuter),Eso es muy bien.,markov_chain,-14.950924,
yo,34,pron,I,Yo estoy aquí.,markov_chain,-14.256100,
le,35,pron,him; her; you (formal),Le hace años.,markov_chain,-15.507354,
aquí,36,adv,here,Ella está aquí.,markov_chain,-15.212206,
tu,37,determiner,your,Tu padre está bien.,markov_chain,-17.793691,
todo,38,determiner,all; every; everything,Todo está bien.,markov_chain,-15.357146,
ha,39,v,has (haber),,markov_chain,-16.551219,no_verb
ya,40,adv,already; now,Ella ya está bien.,markov_chain,-19.097863,
o,41,conj,or,Ella va o algo.,markov_chain,-24.550764,
esto,42,pron,this (neuter),Esto es así.,markov_chain,-15.330549,
muy,43,adv,very,Esto es muy bueno.,markov_chain,-18.918596,
esta,44,determiner,this (fem.),Esta casa está bien.,markov_chain,-19.200163,
ahora,45,adv,now...now; whether...or,Ahora ella está bien.,markov_chain,-19.323206,
así,46,adv,like this,Así ella está bien.,markov_chain,-20.430900,
cuando,47,conj,when,Ella va cuando el mundo.,markov_chain,-27.045837,
hay,48,v,there is; there are,Ella hay algo.,markov_chain,-20.336790,
este,49,determiner,this,Este hombre está bien.,markov_chain,-18.882818,
algo,50,pron,something; anything,Algo por qué hay alguna vez.,markov_chain,-25.253128,
estoy,51,v,to be,Yo estoy aquí.,markov_chain,-14.256100,
vamos,52,v,we go; let's go (ir),Nosotros vamos a casa.,markov_chain,-18.952382,
él,53,pron,he; him; masculine personal third person subject and disjunctive pronoun,Él está bien.,markov_chain,-14.611716,
ser,54,v,to be,,markov_chain,-15.374626,too_many_verbs_for_beginner
bueno,55,adj,good,Esto es bueno.,markov_chain,-16.723570,
