lemma,rank,pos,translation,sentence,source_method,score,tokens
de,1,prep,of; from,Estoy de acuerdo contigo en ese momento.,markov_ml,1.0888,estoy de acuerdo contigo en ese momento
que,2,pron,that,Creo que es verdad que no puedo.,markov_ml,0.3862,creo que es verdad que no puedo
la,3,pron,the (fem.),La casa está a punto de salir.,markov_ml,0.6327,la casa está a punto de salir
no,4,,no; not,No me gusta ese tipo de cosas.,markov_ml,0.9825,no me gusta ese tipo de cosas
a,5,none,to; at,Voy a casa de mi padre.,markov_ml,0.3285,voy a casa de mi padre
el,6,art,the (masc.),El hombre está a punto de salir.,markov_ml,0.2439,el hombre está a punto de salir
y,7,conj,and,Tú y yo estamos aquí para ver.,markov_ml,-0.3965,tú y yo estamos aquí para ver
en,8,prep,in; at; on,Estoy en casa todo el mundo.,markov_ml,0.9566,estoy en casa todo el mundo
es,9,v,is (ser),No es tan importante como la gente.,markov_ml,0.8509,no es tan importante como la gente
un,10,num,a; an; one,Tengo un hombre con quien hablar.,markov_ml,-0.0322,tengo un hombre con quien hablar
lo,11,pron,it; the (neuter),Ya lo tengo que ir a ver.,markov_ml,0.2030,ya lo tengo que ir a ver
por,12,prep,by,Voy por el bien del mal tiempo.,markov_ml,0.3601,voy por el bien del mal tiempo
los,13,art,the (masc. pl.),Los libros están en el mundo.,markov_ml,-1.7674,los libros están en el mundo
una,14,determiner,a; an; one (fem.),Tengo una casa de mi padre.,markov_ml,0.5408,tengo una casa de mi padre
se,15,pron,oneself; himself; herself; itself; themselves,No se sabe nada de esto.,markov_ml,0.5598,no se sabe nada de esto
con,16,prep,with,Estoy con un poco más de tres.,markov_ml,-0.0417,estoy con un poco más de tres
qué,17,pron,what,No sé qué hacer con los ojos.,markov_ml,1.0077,no sé qué hacer con los ojos
me,18,pron,me; myself,Me gusta mucho el uno al otro.,markov_ml,1.0542,me gusta mucho el uno al otro
para,19,prep,for; to,Voy para que no se puede hacer.,markov_ml,-0.6065,voy para que no se puede hacer
las,20,pron,the (fem. pl.),Las casas son un poco de agua.,markov_ml,-2.6140,las casas son un poco de agua
del,21,contraction,of the; from the,Es la casa del vecino.,markov_ml,-4.3157,es la casa del vecino
te,22,pron,you; yourself,Te gusta mucho el uno al otro.,markov_ml,-0.5020,te gusta mucho el uno al otro
su,23,determiner,his; her; its; their; your (formal),Su hombre está a punto de salir.,markov_ml,-1.5560,su hombre está a punto de salir
pero,24,conj,but,Quiero ir pero no puedo ver nada.,markov_ml,-1.0744,quiero ir pero no puedo ver nada
si,25,conj,if; whether,No sé si es verdad.,markov_ml,-1.2485,no sé si es verdad
está,26,v,is (estar),Ella está en contra de la ciudad.,markov_ml,0.7879,ella está en contra de la ciudad
mi,27,determiner,my,Tengo mi hombre con quien hablar.,markov_ml,-1.6006,tengo mi hombre con quien hablar
al,28,contraction,to the,Vamos al cine.,markov_ml,-3.5430,vamos al cine
sí,29,pron,yes; oneself,Claro que sí misma no es nada.,markov_ml,-0.7715,claro que sí misma no es nada
como,30,conj,as,Es como tú no eres el único.,markov_ml,-0.0057,es como tú no eres el único
bien,31,adv,well-to-do,Ella está bien de su padre.,markov_ml,-0.3433,ella está bien de su padre
más,32,adv,more; most,Ella está más cerca de aquí.,markov_ml,0.3457,ella está más cerca de aquí
eso,33,pron,that (neuter),Ella es eso lo que pasó aquí.,markov_ml,-0.0451,ella es eso lo que pasó aquí
yo,34,pron,I,Yo estoy aquí para hablar con él.,markov_ml,0.1130,yo estoy aquí para hablar con él
le,35,pron,him; her; you (formal),Ya le tengo miedo a los niños.,markov_ml,-0.1702,ya le tengo miedo a los niños
aquí,36,adv,here,Aquí no hay nada que ver contigo.,markov_ml,0.6633,aquí no hay nada que ver contigo
tu,37,determiner,your,Tengo tu hombre con quien hablar.,markov_ml,-1.5650,tengo tu hombre con quien hablar
todo,38,determiner,all; every; everything,Todo hombre es un tipo de cosas.,markov_ml,0.1291,todo hombre es un tipo de cosas
ha,39,v,has (haber),Ha dicho que no se puede hacer.,markov_ml,0.3729,ha dicho que no se puede hacer
ya,40,adv,already; now,Ya es hora de que la gente.,markov_ml,0.7909,ya es hora de que la gente
o,41,conj,or,Quieres ir o no ser el mejor.,markov_ml,-1.4327,quieres ir o no ser el mejor
esto,42,pron,this (neuter),Esto es importante para los niños.,markov_ml,0.2561,esto es importante para los niños
muy,43,adv,very,Ella está muy cerca de la ciudad.,markov_ml,0.6351,ella está muy cerca de la ciudad
esta,44,determiner,this (fem.),Esta casa está cerca de aquí.,markov_ml,0.3591,esta casa está cerca de aquí
ahora,45,adv,now...now; whether...or,Ahora no tengo ni idea de quién.,markov_ml,0.8530,ahora no tengo ni idea de quién
así,46,adv,like this,Así es como un padre para mí.,markov_ml,0.6504,así es como un padre para mí
cuando,47,conj,when,Ella está bien cuando tiene tiempo.,markov_ml,-3.1961,ella está bien cuando tiene tiempo
hay,48,v,there is; there are,Hay algo que hacer las cosas.,markov_ml,0.1779,hay algo que hacer las cosas
este,49,determiner,this,Este hombre está de acuerdo con él.,markov_ml,-0.5550,este hombre está de acuerdo con él
algo,50,pron,something; anything,Ella es algo que ver con esto.,markov_ml,-0.0081,ella es algo que ver con esto
