lemma,rank,pos,family,rank_block,translation,canonical_lemma,source_method,template_id,quality_tier,failure_reason,policy_exclusion_reason
grace,3001,none,residual,3001_4000,grace,grace,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
aprendido,3008,v,v,3001_4000,to learn,aprender,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
podéis,3009,v,v,3001_4000,to be able to; can,poder,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
diversas,3014,adj,adj,3001_4000,diverse,diverso,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ja,3026,interj,interj,3001_4000,representation of laughter; ha,ja,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
ayudarle,3029,v,v,3001_4000,to help,ayudarle,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
roger,3030,none,residual,3001_4000,roger,roger,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
salgan,3038,v,v,3001_4000,to go out; to leave; to depart; to head out,salir,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
materiales,3039,n,n,3001_4000,matter,material,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
bancos,3041,n,n,3001_4000,bank,banco,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
guía,3043,n,n,3001_4000,guide,guía,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
vean,3048,v,v,3001_4000,to see; to spot,ver,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
francesa,3049,,residual,3001_4000,female equivalent of francés,francesa,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
beneficios,3051,n,n,3001_4000,benefit,beneficio,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
afirmó,3052,v,v,3001_4000,to state; assert,afirmar,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
dicha,3059,adj,adj,3001_4000,luck,dicho,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
pedirle,3060,v,v,3001_4000,to ask for something,pedirle,no_candidate_found,no_candidate_found,no_candidate_found,no_publishable_candidate,
